n,ev,pf,wr,totalR,maxDD,annual_freq,ytd2026,pos_years,recent_pf,recent_ev,old_pf,old_ev,day_policy,combo,windows,distance260,quality,score
3560,0.05930218280457694,1.1410934432612827,0.4702247191011236,211.11577078429391,27.90076325710556,244.64285714285714,135,13,1.2185536239666448,0.08900384974205139,1.1070191869014103,0.044938203782907554,MonFri,LON_OPEN+LON_H1+NY_H1,3,15.357142857142861,True,7.873295570213378
3604,0.058101593873326335,1.1329365941357563,0.4711431742508324,209.39814431946812,39.87251830501309,247.57142857142858,138,12,1.2076832844289869,0.08757685948264314,1.1527699814005805,0.06614449425939063,MonFri,LON_OPEN+LON_H1+NY_OPEN,3,12.428571428571416,True,7.718096757261625
3636,0.05439555183326356,1.1347966681624697,0.46974697469746973,197.7822264657463,44.79926913545157,250.0,136,11,1.310055904023997,0.11712789608949715,1.1044660324866615,0.04181050092620134,MonFri,LON_OPEN+LON_H1+NY_H2,3,10.0,True,7.387521864951053
3787,0.04940576118108524,1.112700844043795,0.4684446791655664,187.09961759276982,47.128100991048676,260.57142857142856,139,11,1.1963403463080304,0.08376740241735202,1.0956503723495332,0.042031211730801064,MonThu,LON_OPEN+LON_H1+LON_H2+NY_OPEN,4,0.5714285714285552,True,7.139013129975048
3819,0.05050135086351876,1.1219691569816275,0.46818538884524746,192.86465894777814,39.27650641045514,262.85714285714283,139,10,1.2788172555621204,0.10906266321599864,1.0572829705014057,0.02396960637139953,MonThu,LON_OPEN+LON_H1+LON_H2+NY_H2,4,2.857142857142833,True,7.12696951331101
3953,0.050632140179966284,1.1271924493357413,0.47609410574247407,200.14885013140673,47.18345908740991,271.57142857142856,151,11,1.2736859944901506,0.10299358033965464,1.1233876034470498,0.04820271923529704,MonThu,LON_OPEN+LON_H1+NY_OPEN+NY_H2,4,11.571428571428555,True,6.856567082782613
3767,0.045821969652463386,1.1064501987337954,0.4629678789487656,172.61135968082957,38.53749574601777,259.14285714285717,139,11,1.1918579578426534,0.08046198390996591,1.0401946144188823,0.017540286136250416,MonThu,LON_OPEN+LON_H1+LON_H2+NY_H1,4,0.8571428571428328,True,6.70384180972715
3933,0.04720584597494697,1.1209539715930426,0.47088736333587594,185.66059221946642,32.48267902109373,270.14285714285717,151,12,1.270947081595244,0.10000438127567313,1.0638072132379608,0.02471199520274779,MonThu,LON_OPEN+LON_H1+NY_H1+NY_H2,4,10.142857142857167,True,6.622981456282265
3463,0.053947328321482226,1.1207059036386524,0.46404851285012994,186.81959797729294,52.5740439082679,238.64285714285714,122,10,1.224058815816751,0.09532598001570554,1.084399727831142,0.03838615870776025,MonFri,LON_OPEN+LON_H1+LON_H3,3,21.35714285714286,True,6.533934725677604
3901,0.04611523990373188,1.111469447449351,0.4711612407075109,179.89555086445807,35.42333271075241,267.85714285714283,151,10,1.186516314430348,0.07519550706461327,1.1037188316708908,0.042279516652554666,MonThu,LON_OPEN+LON_H1+NY_OPEN+NY_H1,4,7.857142857142833,True,6.333361322009556
3810,0.04246467357856076,1.0986134969709167,0.4695538057742782,161.79040633431651,59.0884307572181,262.07142857142856,141,11,1.1776658598493204,0.07416734480499554,1.0723166784388949,0.031248353328477835,MonThu,LON_OPEN+LON_H1+LON_H3+NY_OPEN,4,2.071428571428555,True,6.229030898993816
3842,0.043611516837408854,1.1072859208272003,0.46928682977615827,167.5554476893248,47.55957364537366,264.35714285714283,141,10,1.259767667573676,0.09937823744120487,1.0321726035774414,0.013228026429663857,MonThu,LON_OPEN+LON_H1+LON_H3+NY_H2,4,4.357142857142833,True,6.2161537491557475
3412,0.05219939235132924,1.113125010024209,0.4575029308323564,178.10432670273536,52.17603238920307,234.71428571428572,126,10,1.2430884262248354,0.106589264413822,1.0682747596355657,0.03219645284684655,MonFri,LON_OPEN+LON_H1+LON_H2,3,25.285714285714278,True,6.086903621089299
3758,0.03914925553204725,1.0958365965467574,0.47631718999467804,147.12290228943357,25.107700203652684,258.07142857142856,145,12,1.0671296381712252,0.027640689810607875,1.1368144248345438,0.05415652155172484,MonFri,LON_OPEN+NY_OPEN+NY_H1,3,1.9285714285714448,True,5.976862947243726
3676,0.04203107049801087,1.0937356435276304,0.46109902067464636,154.50621515068798,52.89947464203459,253.35714285714286,129,10,1.182947177102978,0.07948239572819422,1.0116311143056311,0.005380769370643571,MonThu,LON_OPEN+LON_H1+LON_H2+LON_H3,4,6.642857142857139,True,5.808320627934534
3790,0.03886600222226285,1.0919471817430304,0.4641160949868074,147.3021484223762,41.330728037904905,260.64285714285717,141,10,1.1726646289623428,0.07082860016853317,1.0155734870834079,0.006680973782371486,MonThu,LON_OPEN+LON_H1+LON_H3+NY_H1,4,0.6428571428571672,True,5.773929182513731
3790,0.03575382175084744,1.0949438010500618,0.47493403693931396,135.5069844357118,26.939427475143276,260.5,143,11,1.1553278061890293,0.05740974396348989,1.0847975819369577,0.030910594498416,MonFri,LON_OPEN+NY_H1+NY_H2,3,0.5,True,5.5998201855853615
3834,0.0348955028614726,1.0888302800549523,0.4757433489827856,133.78935797088596,40.699479392874984,263.42857142857144,146,12,1.1470023349402036,0.05636801013044437,1.1350665681296668,0.0510512394604315,MonFri,LON_OPEN+NY_OPEN+NY_H2,3,3.428571428571445,True,5.406424515268211
3661,0.033550049025521056,1.077415773587543,0.470636438131658,122.82672948243258,40.56672403872422,252.07142857142858,132,12,1.0757955805597452,0.03253098651894988,1.1131624532957765,0.04837425442490879,MonFri,LON_OPEN+LON_H3+NY_OPEN,3,7.928571428571416,True,4.932734066998964
3617,0.034433053897500246,1.0826057704690832,0.469726292507603,124.5443559472584,27.655246639994736,249.14285714285714,129,11,1.0804448779070397,0.03339210732328404,1.0652434224164784,0.02704143979895883,MonFri,LON_OPEN+LON_H3+NY_H1,3,10.857142857142861,True,4.826505951583714
3693,0.03011394845077465,1.0752097377191603,0.4692661792580558,111.21081162871077,46.422394188711905,254.5,130,11,1.16256247697684,0.06273394293197164,1.061596268833185,0.024341873802420352,MonFri,LON_OPEN+LON_H3+NY_H2,3,5.5,True,4.588492222269068
3962,0.031989275378401974,1.0792897589175126,0.4719838465421504,126.74150904922863,42.10945065463739,272.2857142857143,150,11,1.1634974872557928,0.06391268685170982,1.091258680531728,0.03606918668677948,MonThu,LON_OPEN+LON_H2+NY_OPEN+NY_H2,4,12.285714285714278,True,4.477539412729609
3566,0.0324815156120866,1.0754895272154164,0.4635445877734156,115.8290846727008,30.81422660103101,245.21428571428572,133,11,1.099506207458806,0.04252266150594437,1.0490240459603515,0.021089728930689937,MonFri,LON_OPEN+LON_H2+NY_H1,3,14.785714285714278,True,4.363761119077109
3610,0.03160982221824792,1.070733342902474,0.4645429362880886,114.11145820787499,42.03161974799583,248.14285714285714,136,10,1.0940622455155014,0.04154716595510725,1.0963627270923844,0.04267857988447572,MonFri,LON_OPEN+LON_H2+NY_OPEN,3,11.857142857142861,True,4.275458507992388
3642,0.028142652486038772,1.068087378715852,0.4632070291048874,102.4955403541532,49.007002351590465,250.57142857142858,134,10,1.1822565846267206,0.07235303131984441,1.0450812246496077,0.018504133114910292,MonFri,LON_OPEN+LON_H2+NY_H2,3,9.428571428571416,True,4.023710464333827
3910,0.027234836261452695,1.0649823715060973,0.4670076726342711,106.48820978228004,35.205723119617176,268.57142857142856,150,10,1.0838913988216572,0.035074583574844206,1.072971588989677,0.030071299162179686,MonThu,LON_OPEN+LON_H2+NY_OPEN+NY_H1,4,8.571428571428555,True,3.9447359126348145
3942,0.02847621794451759,1.0719646709448964,0.4667681380010147,112.25325113728834,36.69761883415623,270.85714285714283,150,8,1.1580284216554175,0.06065167141643603,1.0324142641709044,0.012704672942773233,MonThu,LON_OPEN+LON_H2+NY_H1+NY_H2,4,10.857142857142833,True,3.824411361043582
3851,0.02444770361130791,1.0593382324393614,0.46507400675149313,94.14810660714677,43.756435170404565,265.07142857142856,140,10,1.1495086909068366,0.059425025926716495,1.0024471224627434,0.0010172498490413706,MonThu,LON_OPEN+LON_H2+LON_H3+NY_H2,4,5.071428571428555,True,3.7845812569529778
4076,0.02932714482848795,1.0770130449847757,0.4744847890088322,119.5374423209169,33.67232685369312,279.57142857142856,162,10,1.1523525318252716,0.056310714893990754,1.0995993132745099,0.036461925755766025,MonThu,LON_OPEN+NY_OPEN+NY_H1+NY_H2,4,19.571428571428555,True,3.724273504125124
3819,0.02314298644989224,1.05306631363704,0.46530505367897357,88.38306525213846,52.77835685124947,262.7857142857143,140,10,1.0772604616131907,0.03342206847022092,1.0431366361371441,0.018826187468775412,MonThu,LON_OPEN+LON_H2+LON_H3+NY_OPEN,4,2.7857142857142776,True,3.7056760670739095
3985,0.025453525167070345,1.064239621049864,0.4730238393977415,101.43229779077532,53.43887888434892,273.7857142857143,152,8,1.1439034580025285,0.05505995798421027,1.0664585683569132,0.025806745012443868,MonThu,LON_OPEN+LON_H3+NY_OPEN+NY_H2,4,13.785714285714278,True,3.2984630129199592
3712,0.020394491232047247,1.0506394566327244,0.4665948275862069,75.70435145335938,25.717177551010394,254.28571428571428,152,10,1.0205696664049724,0.008438012962575101,1.0825592029630282,0.032327579315138126,MonFri,LON_H1+NY_OPEN+NY_H1,3,5.714285714285722,True,3.2601294038176825
