slot1,slot2,period,cost_model,trades_used,payouts,breaches,accounts_used,user_paid,account_costs,net_cash,avg_payout,payout_before_breach_rate,resolved_accounts,successful_accounts,avg_first_payout_days,median_first_payout_days,first_portfolio_payout_date,first_portfolio_payout_days,median_gap_days,slot1_used,slot2_used
LON_OPEN,LON_H1,FULL_2012_2026,COMMISSION,5029,235,310,312,744499.9764537672,171288.0,573211.9764537672,3168.0850061862434,0.5466237942122186,311,170,26.05294117647059,21.0,2012-03-12,71,17.0,2678,2351
LON_OPEN,LON_H1,FULL_2012_2026,COMM_PLUS_0P2,5029,230,310,312,704655.6626471477,171288.0,533367.6626471477,3063.720272378903,0.5337620578778135,311,166,27.00602409638554,21.0,2012-03-12,71,17.0,2678,2351
LON_OPEN,LON_H1,YTD_2026,COMMISSION,202,14,14,16,44891.36483557378,8784.0,36107.36483557378,3206.5260596838416,0.6,15,9,15.0,14.0,2026-01-27,26,14.0,108,94
LON_OPEN,LON_H1,YTD_2026,COMM_PLUS_0P2,202,14,14,16,43307.04725336075,8784.0,34523.04725336075,3093.3605180971967,0.6,15,9,15.0,14.0,2026-01-27,26,14.0,108,94
LON_OPEN,LON_H2,FULL_2012_2026,COMMISSION,5033,221,302,304,691585.3115989001,166896.0,524689.3115989001,3129.345301352489,0.5231788079470199,302,158,29.462025316455698,23.5,2012-01-23,22,15.0,2678,2355
LON_OPEN,LON_H2,FULL_2012_2026,COMM_PLUS_0P2,5033,206,296,298,625696.4836594757,163602.0,462094.4836594757,3037.3615711625034,0.4966216216216216,296,147,30.510204081632654,24.0,2012-01-23,22,17.0,2678,2355
LON_OPEN,LON_H2,YTD_2026,COMMISSION,201,12,13,15,35004.875738490126,8235.0,26769.875738490126,2917.0729782075105,0.46153846153846156,13,6,29.5,24.5,2026-01-29,28,17.0,108,93
LON_OPEN,LON_H2,YTD_2026,COMM_PLUS_0P2,201,10,12,14,28727.166097865,7686.0,21041.166097865,2872.7166097865,0.4166666666666667,12,5,35.8,22.0,2026-01-29,28,19.0,108,93
LON_OPEN,NY_OPEN,FULL_2012_2026,COMMISSION,5422,211,359,361,676489.3527523372,198189.0,478300.35275233723,3206.1106765513614,0.46518105849582175,359,167,26.05389221556886,22.0,2012-01-24,23,18.0,2678,2744
LON_OPEN,NY_OPEN,FULL_2012_2026,COMM_PLUS_0P2,5422,205,361,363,643738.2916008639,199287.0,444451.2916008639,3140.1867882968972,0.4515235457063712,361,163,26.104294478527606,21.0,2012-01-24,23,17.5,2678,2744
LON_OPEN,NY_OPEN,YTD_2026,COMMISSION,218,6,12,14,18397.89138608113,7686.0,10711.89138608113,3066.3152310135215,0.4166666666666667,12,5,27.4,21.0,2026-01-22,21,14.0,108,110
LON_OPEN,NY_OPEN,YTD_2026,COMM_PLUS_0P2,218,6,12,14,17553.333561578467,7686.0,9867.333561578467,2925.555593596411,0.4166666666666667,12,5,27.6,21.0,2026-01-22,21,14.0,108,110
LON_OPEN,NY_H1,FULL_2012_2026,COMMISSION,5092,224,314,316,711651.6139168969,173484.0,538167.6139168969,3177.0161335575754,0.5477707006369427,314,172,27.174418604651162,21.0,2012-02-03,33,16.0,2678,2414
LON_OPEN,NY_H1,FULL_2012_2026,COMM_PLUS_0P2,5092,220,315,317,679584.5689471161,174033.0,505551.56894711615,3089.020767941437,0.526984126984127,315,166,26.80722891566265,21.0,2012-02-03,33,16.0,2678,2414
LON_OPEN,NY_H1,YTD_2026,COMMISSION,211,8,13,15,26738.341172955108,8235.0,18503.341172955108,3342.2926466193885,0.46153846153846156,13,6,28.666666666666668,17.5,2026-02-23,53,22.0,108,103
LON_OPEN,NY_H1,YTD_2026,COMM_PLUS_0P2,211,8,13,15,24747.523391565457,8235.0,16512.523391565457,3093.440423945682,0.46153846153846156,13,6,24.666666666666668,14.0,2026-03-13,71,14.0,108,103
LON_OPEN,NY_H2,FULL_2012_2026,COMMISSION,5264,231,312,314,730141.7743259071,172386.0,557755.7743259071,3160.7869018437536,0.5686900958466453,313,178,26.634831460674157,20.0,2012-02-10,40,18.0,2678,2586
LON_OPEN,NY_H2,FULL_2012_2026,COMM_PLUS_0P2,5264,227,316,318,694538.2862665891,174582.0,519956.2862665891,3059.6400276061195,0.5488958990536278,317,174,26.78735632183908,20.0,2012-02-10,40,18.0,2678,2586
LON_OPEN,NY_H2,YTD_2026,COMMISSION,214,7,8,10,20780.16725213333,5490.0,15290.167252133331,2968.595321733333,0.5555555555555556,9,5,42.0,21.0,2026-01-23,22,28.0,108,106
LON_OPEN,NY_H2,YTD_2026,COMM_PLUS_0P2,214,9,10,12,25354.30728096705,6588.0,18766.30728096705,2817.145253440783,0.5454545454545454,11,6,30.0,20.5,2026-01-23,22,23.5,108,106
LON_H1,LON_H2,FULL_2012_2026,COMMISSION,4706,219,289,291,678400.651734564,159759.0,518641.651734564,3097.7198709340823,0.5605536332179931,289,162,28.17283950617284,21.0,2012-01-25,24,17.0,2351,2355
