strategy,rr,max_tp_day_pct,profitable_day_possible,full_n,full_wr,full_ev,full_pf,full_totalR,y26_n,y26_wr,y26_ev,y26_pf,y26_totalR,fullsim_trades_used,fullsim_payouts,fullsim_breaches,fullsim_accounts_used,fullsim_user_paid,fullsim_net_cash,fullsim_payout_before_breach_rate,fullsim_resolved_accounts,fullsim_successful_accounts,fullsim_avg_first_payout_days,fullsim_median_first_payout_days,fullsim_first_portfolio_payout_date,fullsim_first_portfolio_payout_days,fullsim_median_gap_days,y26sim_trades_used,y26sim_payouts,y26sim_breaches,y26sim_accounts_used,y26sim_user_paid,y26sim_net_cash,y26sim_payout_before_breach_rate,y26sim_resolved_accounts,y26sim_successful_accounts,y26sim_avg_first_payout_days,y26sim_median_first_payout_days,y26sim_first_portfolio_payout_date,y26sim_first_portfolio_payout_days,y26sim_median_gap_days,score
CANDLE_ONLY,0.2,0.54,True,7489,0.824142075043397,0.0016495700057560056,1.010117509131498,12.353629773106727,305,0.8360655737704918,0.01407073215453185,1.0918800655682868,4.291573307132214,6413,284,296,298,775546.5970829325,611944.5970829325,0.7162162162162162,296,212,26.919811320754718,19.0,2012-01-16,15.0,15.0,262,14,11,13,38661.57915507635,31524.579155076353,0.8181818181818182,11,9,29.77777777777778,20.0,2026-02-16,46.0,13.0,291.82279671293657
CANDLE_ONLY,0.25,0.675,True,7489,0.7891574308986513,0.0031215883725814173,1.016117002342211,23.377575322262235,305,0.7901639344262295,0.0036505641446603065,1.0188279758989212,1.1134220641213934,6413,291,333,335,972313.5751240845,788398.5751240845,0.6546546546546547,333,218,23.059633027522935,17.0,2012-01-16,15.0,15.0,262,14,16,18,46329.57915507635,36447.57915507635,0.6875,16,11,20.818181818181817,17.0,2026-02-02,32.0,15.0,289.42663548888754
CANDLE_ONLY,0.3,0.8099999999999999,True,7489,0.7572439578047804,0.006451181486580897,1.0293586000930801,48.31289815300434,305,0.7672131147540984,0.015060200110209386,1.0705168662549953,4.593361033613863,6413,242,306,308,944446.2302321007,775354.2302321007,0.6405228758169934,306,196,29.877551020408163,21.0,2012-02-28,58.0,18.0,262,12,14,16,45540.04668015863,36756.04668015863,0.7142857142857143,14,10,22.2,20.0,2026-01-22,21.0,19.0,253.24587358263014
ADX_DI_DIRECTION,0.2,0.54,True,2920,0.8328767123287671,0.010868944011093586,1.0698873647754612,31.73731651239327,105,0.8571428571428571,0.04524839064125128,1.358601409182624,4.751081017331384,2756,197,159,161,439021.087335826,350632.087335826,0.7735849056603774,159,123,45.13821138211382,30.0,2012-01-17,16.0,19.0,99,11,5,7,24192.0,20349.0,0.8,5,4,18.0,18.0,2026-01-20,19.0,17.5,238.55736421379237
ADX_RISE,0.2,0.54,True,3560,0.824438202247191,0.0015560721165032516,1.0095332802990817,5.539616734751576,135,0.8444444444444444,0.02771024311882801,1.1962778645997212,3.7408828210417813,3335,204,187,189,463751.41202436015,359990.41202436015,0.7340425531914894,188,138,39.7463768115942,22.0,2012-01-17,16.0,18.0,126,11,9,11,25903.937469025444,19864.937469025444,0.8,10,8,24.125,19.5,2026-01-19,18.0,17.5,238.29958812213977
DI_ALIGN,0.25,0.675,True,4364,0.7928505957836847,0.00807832067034737,1.042636153688563,35.25379140539592,173,0.791907514450867,0.004802556675189548,1.024861258095901,0.8308423048077918,4145,214,214,216,637210.5177473561,518626.5177473561,0.6728971962616822,214,144,36.729166666666664,24.0,2012-01-17,16.0,17.0,164,11,10,12,31457.72852792953,24869.72852792953,0.8,10,8,21.0,17.0,2026-01-26,25.0,15.5,237.31608116305384
DI_ALIGN,0.2,0.54,True,4364,0.8253895508707608,0.0033884484084188283,1.0209854871512185,14.787188854339767,173,0.8265895953757225,0.002029370042377952,1.0124281222069693,0.35108101733138564,4145,233,211,213,568681.1105678083,451744.11056780827,0.7251184834123223,211,153,34.928104575163395,23.0,2012-01-17,16.0,15.0,164,8,7,9,20630.334997435784,15689.334997435784,0.875,8,7,42.42857142857143,27.0,2026-01-19,18.0,20.0,236.9217032127444
CANDLE_ONLY,0.4,1.08,True,7489,0.6923487782080384,0.0015833326479969888,1.0058143381552493,11.85757820084945,305,0.6819672131147541,-0.015231581429436066,0.9466273860954553,-4.645632335978,6413,217,327,329,1064939.4207777483,884318.4207777483,0.5657492354740061,327,185,30.708108108108107,21.0,2012-02-21,51.0,19.0,262,11,18,20,51054.09988662073,40074.09988662073,0.6111111111111112,18,11,22.0,20.0,2026-03-11,69.0,14.0,228.0330669289531
ADX_DI_DIRECTION,0.25,0.675,True,2920,0.8006849315068493,0.01708000865206458,1.0936203791629657,49.873625264028576,105,0.8285714285714286,0.06029373623626469,1.4105828885051088,6.330842304807792,2756,178,155,157,494491.00554072036,408298.00554072036,0.7354838709677419,155,114,49.6140350877193,35.5,2012-01-17,16.0,21.0,99,10,4,6,27540.0,24246.0,0.8,5,4,27.5,19.5,2026-01-20,19.0,20.0,219.93459088840385
ADX_RISE,0.25,0.675,True,3560,0.7907303370786517,0.005182182924955642,1.0269866673000763,18.448571212842086,135,0.8,0.026020233911340434,1.1495589659436638,3.5127315780309587,3335,177,177,179,502461.30770504184,404190.30770504184,0.6910112359550562,178,123,43.39837398373984,29.0,2012-01-17,16.0,21.5,126,9,8,10,25506.878319887153,20016.878319887153,0.7777777777777778,9,7,34.142857142857146,20.0,2026-01-19,18.0,23.0,209.97099026850637
