symbol,hour,rank,entry_mode,filter,day_policy,atr_period,sl_atr,tp_atr,rr,expiry_h,hold_h,n,wr,pf,ev,sumR,ddR,trades_year,old_n,old_pf,old_ev,mid_n,mid_pf,mid_ev,recent_n,recent_pf,recent_ev,min_pf,min_ev,robust,data_start,data_end
EURUSD,1,1,breakout,adxdi_range,TueThu,20,1.0,5.0,5.0,1,8,108,0.4074074074074074,1.5735637803893217,0.3398896476381165,36.708081944916586,14.489883908588972,11.615866900604885,35,1.488620957841592,0.3071331735004292,30,1.7468629350331342,0.39832689868433824,43,1.5387928427642854,0.32578171888073065,1.488620957841592,0.3071331735004292,True,2012-11-16,2022-03-04
EURUSD,2,1,next_open,adx_di,TueFri,28,1.0,5.0,5.0,0,24,511,0.26614481409001955,1.319439171830779,0.2326269399931533,118.87236633650133,19.819002844225395,54.96025913156571,186,1.3276733224734278,0.2395890960020762,165,1.271002285970522,0.19911902104811155,160,1.360801834202488,0.25908847504485477,1.271002285970522,0.19911902104811155,True,2012-11-16,2022-03-04
GBPUSD,1,1,next_open,adxrise_atr,MonThu,14,1.0,2.5,2.5,0,10,123,0.37398373983739835,1.5002592139620001,0.3104117916207045,38.18065036934665,7.0,13.22999337407053,49,1.312574493444578,0.20413028143319378,36,2.070207632446393,0.5743962938644489,38,1.3,0.19736842105263158,1.3,0.19736842105263158,True,2012-11-16,2022-03-04
GBPUSD,2,1,breakout,body60,MonThu,20,1.75,0.75,0.42857142857142855,1,16,517,0.7678916827852998,1.4350884823600834,0.09966671714492173,51.527692763924534,7.999999999999998,55.60899653979239,177,1.2912548202650567,0.0724023282014831,172,1.8051948051948048,0.15448504983388703,168,1.2930471102392829,0.07226816726686583,1.2912548202650567,0.07226816726686583,True,2012-11-16,2022-03-04
AUDUSD,1,1,breakout,adxrise_range,TueThu,20,2.25,4.5,2.0,1,24,168,0.5059523809523809,1.526316011379675,0.23233252602723756,39.03186437257591,6.424518531000899,18.071343550979837,61,1.5386784880998834,0.22263483943555223,48,1.4650766109778484,0.21573358282472677,59,1.565735539497582,0.2558631727359379,1.4650766109778484,0.21573358282472677,True,2012-11-16,2022-03-04
AUDUSD,2,1,breakout,adx_di,TueFri,20,1.75,0.5,0.2857142857142857,2,10,412,0.8495145631067961,1.701089582503073,0.09980222973015303,41.11851864882305,4.285714285714292,44.31781870835532,137,1.5947150617928394,0.08880906208733752,135,1.864192458282352,0.11380881506581975,140,1.6656449983159305,0.09705347934980106,1.5947150617928394,0.08880906208733752,True,2012-11-16,2022-03-04
USDCHF,1,1,next_open,adxdi_atr,TueFri,14,1.75,5.0,2.857142857142857,0,10,101,0.43564356435643564,1.7505214542836267,0.4071628457433013,41.12344742007343,8.0,10.86165396930551,49,1.6785120149554025,0.3998099628130475,30,1.740654465781048,0.3778840552660293,22,1.9606346232051408,0.4634653447387832,1.6785120149554025,0.3778840552660293,True,2012-11-15,2022-03-04
USDCHF,2,1,breakout,adx_di,TueThu,28,3.0,0.5,0.16666666666666666,1,6,253,0.8735177865612648,1.5898318166461192,0.05401290223757175,13.665264266105652,2.757092756449399,27.207905487468256,97,2.043648320848984,0.07721607168844413,92,1.3660182019688603,0.0373764323163891,64,1.414857461902218,0.04276052405029333,1.3660182019688603,0.0373764323163891,True,2012-11-15,2022-03-04
USDJPY,1,1,breakout,adxdi_range,TueThu,14,1.5,4.0,2.6666666666666665,1,4,116,0.5258620689655172,1.7939034303608168,0.24281454169903596,28.166486837088172,3.6875382752661903,12.478138690162103,46,1.5374831057479972,0.1601045246747437,32,1.576052694604237,0.17803515259037367,38,2.2707699388636313,0.3974882583988948,1.5374831057479972,0.1601045246747437,True,2012-11-16,2022-03-04
USDJPY,2,1,breakout,adxdi_atr,TueThu,28,3.0,3.375,1.125,1,4,112,0.5535714285714286,1.9232742719494569,0.12948547354669368,14.502373037229694,2.5629636546689927,12.047858045673754,52,1.7939494258661224,0.1042069687057255,40,2.1497488553347748,0.16410590774054595,20,1.7939550862865246,0.1259687177455065,1.7939494258661224,0.1042069687057255,True,2012-11-16,2022-03-04
EURGBP,1,1,next_open,range_atr1,MonFri,28,3.0,2.25,0.75,0,6,136,0.625,1.5523146041710325,0.1326094235902708,18.03488160827683,3.304123711340206,14.628823854224185,73,1.482704037177576,0.11576920662220622,42,1.6145769119210376,0.15270860796809976,21,1.6731323001576313,0.15095085667598052,1.482704037177576,0.11576920662220622,True,2012-11-16,2022-03-04
EURGBP,2,1,breakout,adxrise_atr,MonFri,28,2.75,1.75,0.6363636363636364,1,24,151,0.695364238410596,1.5042389872394146,0.14233413058324793,21.492453718070436,5.454545454545453,16.24229707344009,89,1.5049646676711639,0.1430520067575488,35,1.509066314963829,0.14184525167496526,27,1.495702604048382,0.1406015299268447,1.495702604048382,0.1406015299268447,True,2012-11-16,2022-03-04
XAUUSD,1,1,next_open,range_atr1,TueThu,20,2.25,3.375,1.5,0,4,168,0.5476190476190477,1.6471179497531612,0.13377861011298628,22.474806498981696,3.025611106920053,17.1468091795033,54,1.6172650340027508,0.12391226201392308,53,1.7392960362562564,0.16296219392517305,61,1.5854126189209892,0.11715652577369964,1.5854126189209892,0.11715652577369964,True,2012-05-17,2022-03-04
XAUUSD,2,1,next_open,adxdi_atr,TueThu,28,0.5,4.5,9.0,0,16,93,0.22580645161290322,2.3872626785964637,1.0740098156875848,99.88291285894539,11.0,9.491983652939327,35,2.1772261994879183,0.9081459253192512,33,2.88,1.4242424242424243,25,2.05489027363858,0.8439122189108642,2.05489027363858,0.8439122189108642,True,2012-05-17,2022-03-04
