variant,period,trades,win_rate,PF,EV_R,EV_after_comm_R,EV_after_comm_0p2_R,total_R,max_DD_R,avg_stop_pips,positive_years,years
RISE_CANDLE,FULL_2012_2026,932,0.4989270386266094,1.345935217277768,0.15426911357025538,0.1392008941049149,0.13166678437224472,143.778813847478,17.470959580200656,29.53961756563377,13,15
RISE_CANDLE,RECENT_2022_2026,284,0.5492957746478874,1.6537896777338443,0.2581098605237545,0.24284693417567849,0.23521547100164047,73.30320038874628,6.0,29.260966402780515,5,5
RISE_CANDLE,YTD_2026,30,0.6,2.037954119538992,0.3185381151718541,0.30181089834909797,0.2934472899377199,9.556143455155622,2.0,25.620875567664733,1,1
FALL_CANDLE_SAME,FULL_2012_2026,1218,0.4376026272577997,1.000025180246876,1.2545049169512836e-05,-0.015247388108221816,-0.022877354686917487,0.015279869888466635,24.30014180526352,29.769220668681577,6,15
FALL_CANDLE_SAME,RECENT_2022_2026,396,0.44696969696969696,1.0187405671082228,0.00940295169055375,-0.006605987727626109,-0.014610457436716066,3.723568869459285,17.83183320487874,27.755029137824998,3,5
FALL_CANDLE_SAME,YTD_2026,56,0.5178571428571429,1.35657320735767,0.14931780252104337,0.1324607744509685,0.12403226041593106,8.36179694117843,5.703490362895412,25.788331714779563,1,1
FALL_CANDLE_REVERSE,FULL_2012_2026,637,0.42857142857142855,0.9357797054963211,-0.03399639984675654,-0.04970595868837917,-0.0575607381091905,-21.655706702383917,48.31109010738253,28.281871789971124,7,15
FALL_CANDLE_REVERSE,RECENT_2022_2026,197,0.4365482233502538,1.0866165568613375,0.043294158262939454,0.02643838444155193,0.018010497530858174,8.528949177799072,13.688605647721168,26.446264868986365,3,5
FALL_CANDLE_REVERSE,YTD_2026,28,0.25,0.5329823573045935,-0.2907160559419926,-0.30861538318082127,-0.3175650468002356,-8.140049566375794,9.443366413737449,24.603304667352752,0,1
FALL_DI,FULL_2012_2026,905,0.4298342541436464,0.9718955217106011,-0.014468504731914,-0.03008710699429823,-0.03789640812549033,-13.09399678238217,69.99863149551685,28.73802627973069,6,15
FALL_DI,RECENT_2022_2026,305,0.4721311475409836,1.1724108978574561,0.0815283730247813,0.06518263050089357,0.057009759238949735,24.8661537725583,15.420037089388007,27.254765854805427,3,5
FALL_DI,YTD_2026,44,0.4318181818181818,0.9661645159672549,-0.015629537369654223,-0.03295805233273091,-0.04162230981426927,-0.6876996442647858,6.203490362895412,25.406848643241197,0,1
FALL_OPP_DI,FULL_2012_2026,950,0.43894736842105264,0.9821251183433547,-0.008996242158013975,-0.024215981653128226,-0.03182585140068535,-8.546430050113276,47.11988057804789,29.754262443694202,5,15
FALL_OPP_DI,RECENT_2022_2026,288,0.4131944444444444,0.9175213168380791,-0.043797346268402565,-0.0600288600969679,-0.06814461701125057,-12.613635725299938,21.390590561910816,27.38959073629638,2,5
FALL_OPP_DI,YTD_2026,40,0.425,1.0442435225486033,0.022736175476685494,0.005668173570785018,-0.002865827382165187,0.9094470190674198,5.17661907294168,25.378444160273013,1,1
FALL_AGREE_SAME,FULL_2012_2026,592,0.4391891891891892,1.0151911470481974,0.00761070875276289,-0.007933882931192744,-0.015706178773170588,4.505539581635631,35.221588517138386,28.922063726516836,7,15
FALL_AGREE_SAME,RECENT_2022_2026,206,0.49029126213592233,1.2274645865893987,0.10437462898908316,0.08808751620788464,0.07994395981728537,21.50117357175113,11.582689892950347,27.196672483201326,4,5
FALL_AGREE_SAME,YTD_2026,28,0.5357142857142857,1.353212709636045,0.1296415442920793,0.11228784129154261,0.10361098979127432,3.6299632401782205,4.203490362895412,25.15974828583652,1,1
FALL_AGREE_REVERSE,FULL_2012_2026,324,0.4444444444444444,0.9758410649594867,-0.012519044254216422,-0.02818124243803628,-0.0360123415299462,-4.056170338366121,27.78057202817059,28.177469978868206,7,15
FALL_AGREE_REVERSE,RECENT_2022_2026,98,0.4387755102040816,1.1058903418108659,0.052693560989713305,0.035445793582014516,0.02682190987816511,5.163968976991904,7.472404643392106,25.50739923483808,3,5
FALL_AGREE_REVERSE,YTD_2026,12,0.25,0.48220441222909943,-0.31853222349439886,-0.3372514058549701,-0.34661099703525555,-3.8223866819327865,3.9268368243146266,22.955345198890626,0,1
FALL_DISAGREE_CANDLE,FULL_2012_2026,626,0.43610223642172524,0.9855260244272966,-0.007172938836656818,-0.022163674154230123,-0.029659041813016793,-4.490259711747168,38.49836142363026,30.5703658919428,6,15
FALL_DISAGREE_CANDLE,RECENT_2022_2026,190,0.4,0.8293321513265687,-0.09356634053837812,-0.10927368146823252,-0.11712735193315972,-17.777604702291843,24.778300272977376,28.36040530020646,1,5
FALL_DISAGREE_CANDLE,YTD_2026,28,0.5,1.359194829603031,0.1689940607500074,0.15263370761039433,0.1444535310405878,4.731833701000207,3.0,26.41691514372261,1,1
FALL_DISAGREE_DI,FULL_2012_2026,313,0.41214057507987223,0.8960541454610849,-0.05622855068376293,-0.0719871346152517,-0.07986642658099609,-17.599536364017798,39.597482555316,28.389942674307676,6,15
FALL_DISAGREE_DI,RECENT_2022_2026,99,0.43434343434343436,1.0677048219932928,0.0339896989980522,0.017521959231801082,0.009288089348675517,3.3649802008071683,11.986391541009175,27.37564701188063,3,5
FALL_DISAGREE_DI,YTD_2026,16,0.25,0.5702884442278677,-0.2698539302776879,-0.2871383661752097,-0.2957805841239705,-4.317662884443006,6.547816556119289,25.839274268699356,0,1
FALL2_CANDLE_SAME,FULL_2012_2026,923,0.4322860238353196,0.9561728560034295,-0.02183886927236937,-0.037116906687600495,-0.044755925395216056,-20.15727633839693,33.29130384075887,29.77607609252807,6,15
FALL2_CANDLE_SAME,RECENT_2022_2026,307,0.4364820846905538,0.9462806231663637,-0.02738027660775696,-0.043431607506056416,-0.051457272955206176,-8.405744918581387,23.370616570902634,27.825013352505035,2,5
FALL2_CANDLE_SAME,YTD_2026,38,0.5,1.1647767883972124,0.07058079007511005,0.05376510815806045,0.04535726719953565,2.682070022854182,4.203490362895412,26.185024354212914,1,1
FALL2_CANDLE_REVERSE,FULL_2012_2026,517,0.42940038684719534,0.9498156348494502,-0.026261468628900664,-0.04201669890020139,-0.04989431403585175,-13.577179281141643,36.48595584590065,28.36219321185485,5,15
FALL2_CANDLE_REVERSE,RECENT_2022_2026,159,0.4339622641509434,1.0946264955067782,0.04696596557864261,0.030066493042738774,0.021616756774786878,7.4675885270041755,11.18860564772117,26.538566000476806,2,5
FALL2_CANDLE_REVERSE,YTD_2026,17,0.23529411764705882,0.5696819099746384,-0.25460945220933223,-0.2721436342681605,-0.2809107252975747,-4.328360687558648,4.631677534920305,25.465420075654738,0,1
FALL1PT_CANDLE_SAME,FULL_2012_2026,487,0.46406570841889117,1.090007070225591,0.04121915071378642,0.026274123265052934,0.018801609540686173,20.07372639761399,12.161826275012402,30.809304172088243,9,15
FALL1PT_CANDLE_SAME,RECENT_2022_2026,151,0.46357615894039733,0.9523259279154667,-0.02208725581793749,-0.0376423224608817,-0.04541985578235378,-3.3351756285085608,10.082522863118438,28.86775967866315,2,5
FALL1PT_CANDLE_SAME,YTD_2026,23,0.43478260869565216,0.8210390967251088,-0.07996431693061645,-0.09714999607331537,-0.10574283564466472,-1.8391792894041785,3.8874960619947867,25.32024233571294,0,1
FALL1PT_CANDLE_REVERSE,FULL_2012_2026,240,0.3875,0.8452730956020892,-0.08571735636783445,-0.10112602359467357,-0.1088303572080931,-20.57216552828027,27.391818789401775,29.411903166722407,7,15
FALL1PT_CANDLE_REVERSE,RECENT_2022_2026,70,0.42857142857142855,1.114052699040781,0.056858141367746966,0.04095822353179612,0.03300826461382072,3.9800698957422878,6.4746533804339155,28.932035447840537,3,5
FALL1PT_CANDLE_REVERSE,YTD_2026,13,0.15384615384615385,0.35399677902182175,-0.4211271831103013,-0.4382626200882945,-0.44683033857729104,-5.474653380433916,5.474653380433916,26.68918760623317,0,1
FALL2PT_CANDLE_SAME,FULL_2012_2026,78,0.47435897435897434,1.062146228060422,0.02814733734883034,0.013635036634029332,0.006378886276628857,2.1954923132087667,8.337911793592703,32.28422370579225,9,15
FALL2PT_CANDLE_SAME,RECENT_2022_2026,22,0.5454545454545454,1.3247089282632396,0.1251239988638506,0.11015580220769236,0.10267170387961323,2.7527279750047127,2.1174962745921504,30.298378206269295,3,5
FALL2PT_CANDLE_SAME,YTD_2026,1,0.0,0.0,-0.32954962734617066,-0.3476071411733551,-0.3566358980869474,-0.32954962734617066,0.32954962734617066,22.151443649890744,0,1
FALL2PT_CANDLE_REVERSE,FULL_2012_2026,35,0.45714285714285713,1.1485372986888338,0.06926065718650276,0.053839626694027407,0.046129111447789715,2.4241230015275965,6.399618177201803,28.334042427493504,9,14
