metric,value
trades,58
adx_rise_with_candle_trades,30
adx_fall_reverse_candle_trades,28
win_rate,0.4310344828
raw_EV_R,0.0244154138
raw_total_R,1.4160939999
risk_0.5_commission_payouts,0
risk_0.5_commission_breaches,0
risk_0.5_commission_accounts_used,1
risk_0.5_commission_net_cash,-1098
risk_1.0_commission_payouts,0
risk_1.0_commission_breaches,1
risk_1.0_commission_accounts_used,2
risk_1.0_commission_net_cash,-2196
risk_1.5_commission_payouts,0
risk_1.5_commission_breaches,1
risk_1.5_commission_accounts_used,2
risk_1.5_commission_net_cash,-2196
risk_2.0_commission_payouts,0
risk_2.0_commission_breaches,2
risk_2.0_commission_accounts_used,3
risk_2.0_commission_net_cash,-3294
risk_2.5_commission_payouts,0
risk_2.5_commission_breaches,3
risk_2.5_commission_accounts_used,4
risk_2.5_commission_net_cash,-4392
risk_2.7_commission_payouts,0
risk_2.7_commission_breaches,3
risk_2.7_commission_accounts_used,4
risk_2.7_commission_net_cash,-4392
risk_2.8_commission_payouts,0
risk_2.8_commission_breaches,4
risk_2.8_commission_accounts_used,5
risk_2.8_commission_net_cash,-5490
risk_2.9_commission_payouts,0
risk_2.9_commission_breaches,4
risk_2.9_commission_accounts_used,5
risk_2.9_commission_net_cash,-5490
risk_2.8_comm_plus_0.2_payouts,0
risk_2.8_comm_plus_0.2_breaches,4
risk_2.8_comm_plus_0.2_accounts_used,5
risk_2.8_comm_plus_0.2_net_cash,-5490
risk_2.9_comm_plus_0.2_payouts,0
risk_2.9_comm_plus_0.2_breaches,7
risk_2.9_comm_plus_0.2_accounts_used,8
risk_2.9_comm_plus_0.2_net_cash,-8784
