cost_model,risk_pct,trades,payouts,breaches,accounts_used,resolved_accounts,successful_accounts,payout_before_breach_rate,user_payouts,activation_costs,net_cash,avg_payout,avg_first_payout_days,median_first_payout_days,median_payout_gap_days,first_payout_date,total_trading_costs,avg_trading_cost_per_trade,max_lots
COMMISSION,0.005,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,1002.9976673698834,17.29306323051523,7.016909065361429
COMMISSION,0.006,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,1203.59720084386,20.751675876618275,8.420290878433715
COMMISSION,0.0075,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,1504.4965010548253,25.939594845772852,10.525363598042144
COMMISSION,0.008,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,1604.796267791813,27.668901168824362,11.227054504578286
COMMISSION,0.01,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,2005.9953347397668,34.58612646103046,14.033818130722858
COMMISSION,0.0125,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,2507.494168424708,43.23265807628807,17.542272663403573
COMMISSION,0.015,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,3008.9930021096507,51.879189691545704,21.05072719608429
COMMISSION,0.0175,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,3510.491835794592,60.52572130680331,24.559181728765004
COMMISSION,0.02,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,4011.9906694795336,69.17225292206092,28.067636261445717
COMMISSION,0.0225,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,4513.4895031644755,77.81878453731855,31.57609079412643
COMMISSION,0.025,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,5014.988336849416,86.46531615257614,35.084545326807145
COMMISSION,0.027,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,5416.1874037973685,93.38254144478222,37.89130895295172
COMMISSION,0.028,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,5616.786937271347,96.84115409088528,39.294690766024004
COMMISSION,0.029,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,5817.386470745325,100.29976673698836,40.69807257909629
COMM_PLUS_0P2,0.005,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,1504.4965010548256,25.939594845772856,7.016909065361429
COMM_PLUS_0P2,0.006,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,1805.3958012657897,31.127513814927408,8.420290878433715
COMM_PLUS_0P2,0.0075,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,2256.7447515822378,38.909392268659275,10.525363598042144
COMM_PLUS_0P2,0.008,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,2407.1944016877196,41.503351753236544,11.227054504578286
COMM_PLUS_0P2,0.01,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,3008.993002109651,51.87918969154571,14.033818130722858
COMM_PLUS_0P2,0.0125,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,3761.2412526370613,64.84898711443209,17.542272663403573
COMM_PLUS_0P2,0.015,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,4513.4895031644755,77.81878453731855,21.05072719608429
COMM_PLUS_0P2,0.0175,58,0,0,1,0,0,,0,1098.0,-1098.0,,,,,,5265.7377536918875,90.78858196020495,24.559181728765004
COMM_PLUS_0P2,0.02,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,6017.986004219302,103.75837938309142,28.067636261445717
COMM_PLUS_0P2,0.0225,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,6770.234254746713,116.72817680597781,31.57609079412643
COMM_PLUS_0P2,0.025,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,7522.482505274123,129.69797422886418,35.084545326807145
COMM_PLUS_0P2,0.027,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,8124.281105696055,140.07381216717337,37.89130895295172
COMM_PLUS_0P2,0.028,58,0,1,2,1,0,0.0,0,2196.0,-2196.0,,,,,,8425.18040590702,145.26173113632794,39.294690766024004
COMM_PLUS_0P2,0.029,58,0,2,3,2,0,0.0,0,3294.0,-3294.0,,,,,,8726.079706117986,150.4496501054825,40.69807257909629
