signal_dt,entry_dt,exit_dt,trade_day,R,stop_pips,regime,rr,reason
2026-01-05 07:00:00+00:00,2026-01-05 08:00:00+00:00,2026-01-05 16:00:00+00:00,2026-01-05,-1.0,25.48652254995931,RISE_1P5R,1.5,SL
2026-01-07 07:00:00+00:00,2026-01-07 08:00:00+00:00,2026-01-07 19:00:00+00:00,2026-01-07,-0.17023871252359332,22.909007840743772,RISE_1P5R,1.5,TIME
2026-01-08 07:00:00+00:00,2026-01-08 08:00:00+00:00,2026-01-08 17:00:00+00:00,2026-01-08,1.5,16.365778402422247,RISE_1P5R,1.5,TP
2026-01-12 07:00:00+00:00,2026-01-12 08:00:00+00:00,2026-01-12 19:00:00+00:00,2026-01-12,-0.5716814216428394,27.287925423866984,RISE_1P5R,1.5,TIME
2026-01-19 07:00:00+00:00,2026-01-19 08:00:00+00:00,2026-01-19 19:00:00+00:00,2026-01-19,-0.6829206782455692,29.57883784086481,RISE_1P5R,1.5,TIME
2026-01-20 07:00:00+00:00,2026-01-20 08:00:00+00:00,2026-01-20 09:00:00+00:00,2026-01-20,1.5,23.86144383792821,RISE_1P5R,1.5,TP
2026-01-22 07:00:00+00:00,2026-01-22 08:00:00+00:00,2026-01-22 13:00:00+00:00,2026-01-22,-1.0,27.44993731781102,FALL_REVERSE_0P25R,0.25,SL
2026-02-02 07:00:00+00:00,2026-02-02 08:00:00+00:00,2026-02-02 13:00:00+00:00,2026-02-02,-1.0,41.9911732896134,FALL_REVERSE_0P25R,0.25,SL
2026-02-03 07:00:00+00:00,2026-02-03 08:00:00+00:00,2026-02-03 09:00:00+00:00,2026-02-03,0.25,32.52943879150194,FALL_REVERSE_0P25R,0.25,TP
2026-02-04 07:00:00+00:00,2026-02-04 08:00:00+00:00,2026-02-04 09:00:00+00:00,2026-02-04,0.25,26.80240485085268,FALL_REVERSE_0P25R,0.25,TP
2026-02-05 07:00:00+00:00,2026-02-05 08:00:00+00:00,2026-02-05 13:00:00+00:00,2026-02-05,0.25,24.775128543618198,FALL_REVERSE_0P25R,0.25,TP
2026-02-09 07:00:00+00:00,2026-02-09 08:00:00+00:00,2026-02-09 13:00:00+00:00,2026-02-09,1.5,25.147261927332938,RISE_1P5R,1.5,TP
2026-02-11 07:00:00+00:00,2026-02-11 08:00:00+00:00,2026-02-11 13:00:00+00:00,2026-02-11,-1.0,25.962753296561846,RISE_1P5R,1.5,SL
2026-02-16 07:00:00+00:00,2026-02-16 08:00:00+00:00,2026-02-16 19:00:00+00:00,2026-02-16,-0.5838609788010151,20.895385105292085,FALL_REVERSE_0P25R,0.25,TIME
2026-02-18 07:00:00+00:00,2026-02-18 08:00:00+00:00,2026-02-18 17:00:00+00:00,2026-02-18,1.5,18.98451037269582,RISE_1P5R,1.5,TP
2026-02-23 07:00:00+00:00,2026-02-23 08:00:00+00:00,2026-02-23 19:00:00+00:00,2026-02-23,0.862074503908121,31.435798039664785,RISE_1P5R,1.5,TIME
2026-02-25 07:00:00+00:00,2026-02-25 08:00:00+00:00,2026-02-25 19:00:00+00:00,2026-02-25,-0.38860250808776875,21.8732504888527,RISE_1P5R,1.5,TIME
2026-03-02 07:00:00+00:00,2026-03-02 08:00:00+00:00,2026-03-02 10:00:00+00:00,2026-03-02,-1.0,41.05161683399759,RISE_1P5R,1.5,SL
2026-03-03 07:00:00+00:00,2026-03-03 08:00:00+00:00,2026-03-03 11:00:00+00:00,2026-03-03,1.5,40.20574030098712,RISE_1P5R,1.5,TP
2026-03-04 07:00:00+00:00,2026-03-04 08:00:00+00:00,2026-03-04 08:00:00+00:00,2026-03-04,0.25,44.818235975175554,FALL_REVERSE_0P25R,0.25,TP
2026-03-05 07:00:00+00:00,2026-03-05 08:00:00+00:00,2026-03-05 09:00:00+00:00,2026-03-05,-1.0,38.61103243770768,RISE_1P5R,1.5,SL
2026-03-09 07:00:00+00:00,2026-03-09 08:00:00+00:00,2026-03-09 08:00:00+00:00,2026-03-09,0.25,52.53034804610194,FALL_REVERSE_0P25R,0.25,TP
2026-03-26 07:00:00+00:00,2026-03-26 08:00:00+00:00,2026-03-26 19:00:00+00:00,2026-03-26,0.9440357178055568,30.401392085792484,RISE_1P5R,1.5,TIME
2026-04-01 06:00:00+00:00,2026-04-01 07:00:00+00:00,2026-04-01 18:00:00+00:00,2026-04-01,-0.39326753045767565,35.599175919018286,RISE_1P5R,1.5,TIME
2026-04-02 06:00:00+00:00,2026-04-02 07:00:00+00:00,2026-04-02 18:00:00+00:00,2026-04-02,0.018002257342900216,38.88401252502998,RISE_1P5R,1.5,TIME
2026-04-06 06:00:00+00:00,2026-04-06 07:00:00+00:00,2026-04-06 18:00:00+00:00,2026-04-06,0.3558891187177434,23.040884277509676,RISE_1P5R,1.5,TIME
2026-04-13 06:00:00+00:00,2026-04-13 07:00:00+00:00,2026-04-13 13:00:00+00:00,2026-04-13,0.25,27.680807219537403,FALL_REVERSE_0P25R,0.25,TP
2026-04-14 06:00:00+00:00,2026-04-14 07:00:00+00:00,2026-04-14 18:00:00+00:00,2026-04-14,0.5518202446669996,26.820328074281573,RISE_1P5R,1.5,TIME
2026-04-22 06:00:00+00:00,2026-04-22 07:00:00+00:00,2026-04-22 12:00:00+00:00,2026-04-22,-1.0,29.567728993575546,FALL_REVERSE_0P25R,0.25,SL
2026-04-23 06:00:00+00:00,2026-04-23 07:00:00+00:00,2026-04-23 10:00:00+00:00,2026-04-23,-1.0,21.582209706190557,FALL_REVERSE_0P25R,0.25,SL
2026-04-28 06:00:00+00:00,2026-04-28 07:00:00+00:00,2026-04-28 08:00:00+00:00,2026-04-28,-1.0,20.3705245101658,RISE_1P5R,1.5,SL
2026-05-05 06:00:00+00:00,2026-05-05 07:00:00+00:00,2026-05-05 18:00:00+00:00,2026-05-05,0.43841132964886015,23.265822094902898,RISE_1P5R,1.5,TIME
2026-05-06 06:00:00+00:00,2026-05-06 07:00:00+00:00,2026-05-06 09:00:00+00:00,2026-05-06,1.5,24.4122796578955,RISE_1P5R,1.5,TP
2026-05-07 06:00:00+00:00,2026-05-07 07:00:00+00:00,2026-05-07 07:00:00+00:00,2026-05-07,0.25,23.1952344771791,FALL_REVERSE_0P25R,0.25,TP
2026-05-13 06:00:00+00:00,2026-05-13 07:00:00+00:00,2026-05-13 18:00:00+00:00,2026-05-13,0.5537362680541528,18.96209550603809,RISE_1P5R,1.5,TIME
2026-05-14 06:00:00+00:00,2026-05-14 07:00:00+00:00,2026-05-14 11:00:00+00:00,2026-05-14,0.25,17.54221487353563,FALL_REVERSE_0P25R,0.25,TP
2026-05-19 06:00:00+00:00,2026-05-19 07:00:00+00:00,2026-05-19 14:00:00+00:00,2026-05-19,1.5,23.67448639739813,RISE_1P5R,1.5,TP
