cost_model,risk_pct,trades,payouts,breaches,accounts_used,user_payouts,activation_costs,net_cash,avg_payout,payout_before_breach,median_first_payout_days,first_payout_date,median_gap_days
COMMISSION,0.005,63,1,1,2,6542.088803819404,2196.0,4346.088803819404,6542.088803819404,1.0,134.0,2026-05-19,
COMMISSION,0.006,63,1,1,2,7850.506564583234,2196.0,5654.506564583234,7850.506564583234,1.0,134.0,2026-05-19,
COMMISSION,0.0075,63,1,1,2,9813.133205729047,2196.0,7617.133205729047,9813.133205729047,1.0,134.0,2026-05-19,
COMMISSION,0.008,63,1,1,2,10467.342086110986,2196.0,8271.342086110986,10467.342086110986,1.0,134.0,2026-05-19,
COMMISSION,0.01,63,1,1,2,13084.17760763874,2196.0,10888.17760763874,13084.17760763874,1.0,134.0,2026-05-19,
COMMISSION,0.0125,63,1,1,2,16355.222009548475,2196.0,14159.222009548475,16355.222009548475,1.0,134.0,2026-05-19,
COMMISSION,0.015,63,1,1,2,19626.266411458026,2196.0,17430.266411458026,19626.266411458026,1.0,134.0,2026-05-19,
COMMISSION,0.0175,63,1,1,2,22897.310813367763,2196.0,20701.310813367763,22897.310813367763,1.0,134.0,2026-05-19,
COMMISSION,0.02,63,1,1,2,26168.355215277523,2196.0,23972.355215277523,26168.355215277523,1.0,134.0,2026-05-19,
COMMISSION,0.0225,63,1,1,2,29439.39961718717,2196.0,27243.39961718717,29439.39961718717,1.0,134.0,2026-05-19,
COMMISSION,0.025,63,1,1,2,32710.44401909693,2196.0,30514.44401909693,32710.44401909693,1.0,134.0,2026-05-19,
COMMISSION,0.027,63,1,2,3,37701.31219470529,3294.0,34407.31219470529,37701.31219470529,0.5,120.0,2026-05-19,
COMMISSION,0.028,63,1,2,3,39097.65709080547,3294.0,35803.65709080547,39097.65709080547,0.5,120.0,2026-05-19,
COMMISSION,0.029,63,1,2,3,40494.0019869057,3294.0,37200.0019869057,40494.0019869057,0.5,120.0,2026-05-19,
COMM_PLUS_0P2,0.005,63,1,1,2,6293.2674680604605,2196.0,4097.2674680604605,6293.2674680604605,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.006,63,1,1,2,7551.92096167258,2196.0,5355.92096167258,7551.92096167258,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.0075,63,1,1,2,9439.90120209076,2196.0,7243.901202090759,9439.90120209076,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.008,63,1,1,2,10069.227948896774,2196.0,7873.227948896774,10069.227948896774,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.01,63,1,1,2,12586.534936120945,2196.0,10390.534936120945,12586.534936120945,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.0125,63,1,1,2,15733.168670151197,2196.0,13537.168670151197,15733.168670151197,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.015,63,1,1,2,18879.802404181428,2196.0,16683.802404181428,18879.802404181428,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.0175,63,1,1,2,22026.43613821168,2196.0,19830.43613821168,22026.43613821168,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.02,63,1,1,2,25173.069872242006,2196.0,22977.069872242006,25173.069872242006,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.0225,63,1,1,2,28319.70360627219,2196.0,26123.70360627219,28319.70360627219,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.025,63,1,1,2,31466.337340302394,2196.0,29270.337340302394,31466.337340302394,1.0,134.0,2026-05-19,
COMM_PLUS_0P2,0.027,63,1,2,3,36627.037153837715,3294.0,33333.037153837715,36627.037153837715,0.5,120.0,2026-05-19,
COMM_PLUS_0P2,0.028,63,1,2,3,37983.594085461344,3294.0,34689.594085461344,37983.594085461344,0.5,120.0,2026-05-19,
COMM_PLUS_0P2,0.029,63,1,4,5,37347.82179247677,5490.0,31857.821792476767,37347.82179247677,0.25,91.0,2026-05-19,
