dt,day,R,R_comm,R_stress,setup,priority
2012-01-02 08:00:00+00:00,2012-01-02,-0.6937508056220455,-0.7043830018767895,-0.7096991000041615,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-01-03 09:00:00+00:00,2012-01-03,0.3,0.287963796618262,0.28194569492739296,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-01-04 07:00:00+00:00,2012-01-04,0.6,0.5898887013601491,0.5848330520402237,BASE,0
2012-01-05 07:00:00+00:00,2012-01-05,0.6,0.5911667009420726,0.5867500514131089,BASE,0
2012-01-10 09:00:00+00:00,2012-01-10,0.3,0.2905251988746417,0.28578779831196255,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-01-12 07:00:00+00:00,2012-01-12,-1.0,-1.0101051685912075,-1.0151577528868114,BASE,0
2012-01-17 07:00:00+00:00,2012-01-17,-1.0,-1.0087906181097266,-1.01318592716459,BASE,0
2012-01-19 07:00:00+00:00,2012-01-19,0.6,0.5931748900915172,0.5897623351372758,BASE,0
2012-01-25 08:00:00+00:00,2012-01-25,-1.0,-1.009680117792473,-1.0145201766887098,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-01-26 09:00:00+00:00,2012-01-26,-1.0,-1.007347166790043,-1.0110207501850648,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-01-30 08:00:00+00:00,2012-01-30,0.29468671849891165,0.2872732161467377,0.2835664649706507,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-02-01 07:00:00+00:00,2012-02-01,1.5,1.4921134630915749,1.4881701946373622,BASE,0
2012-02-06 07:00:00+00:00,2012-02-06,-1.0,-1.006966203552903,-1.0104493053293546,BASE,0
2012-02-07 08:00:00+00:00,2012-02-07,-1.0,-1.0071812415074637,-1.0107718622611954,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-02-08 08:00:00+00:00,2012-02-08,-1.0,-1.0079817700532228,-1.0119726550798342,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-02-09 07:00:00+00:00,2012-02-09,-0.24983720916548957,-0.25729503630475725,-0.2610239498743911,BASE,0
2012-02-14 07:00:00+00:00,2012-02-14,-1.0,-1.008902456168308,-1.013353684252462,BASE,0
2012-02-20 09:00:00+00:00,2012-02-20,0.3,0.29048737136973346,0.2857310570546002,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-02-22 07:00:00+00:00,2012-02-22,-0.33479065537752684,-0.3426220157372356,-0.34653769591709,BASE,0
2012-02-23 07:00:00+00:00,2012-02-23,-1.0,-1.0103245087777568,-1.015486763166635,BASE,0
2012-03-01 07:00:00+00:00,2012-03-01,-0.17076063007714387,-0.1795175854657153,-0.18389606316000104,BASE,0
2012-03-06 08:00:00+00:00,2012-03-06,1.5,1.4893205866502268,1.4839808799753402,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-03-08 07:00:00+00:00,2012-03-08,1.5,1.4891307834404326,1.483696175160649,BASE,0
2012-03-12 07:00:00+00:00,2012-03-12,-1.0,-1.0086206659280872,-1.0129309988921307,BASE,0
2012-03-14 07:00:00+00:00,2012-03-14,-0.5831719167180045,-0.5919085746463643,-0.5962769036105442,BASE,0
2012-03-19 09:00:00+00:00,2012-03-19,0.3,0.28748859307760144,0.2812328896164022,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-03-21 07:00:00+00:00,2012-03-21,-1.0,-1.0093245812980494,-1.013986871947074,BASE,0
2012-03-22 08:00:00+00:00,2012-03-22,-0.9418385218878473,-0.9495427224758869,-0.9533948227699066,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-03-26 08:00:00+00:00,2012-03-26,-1.0,-1.0093224436926318,-1.0139836655389478,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2012-03-28 07:00:00+00:00,2012-03-28,-1.0,-1.0109171920678006,-1.016375788101701,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-04-02 06:00:00+00:00,2012-04-02,-1.0,-1.0102001003847436,-1.0153001505771155,BASE,0
2012-04-03 07:00:00+00:00,2012-04-03,1.5,1.4888808455773241,1.4833212683659862,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-04-04 07:00:00+00:00,2012-04-04,1.5,1.4917234687166963,1.4875852030750443,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-04-05 06:00:00+00:00,2012-04-05,0.6,0.5897953009965985,0.5846929514948979,BASE,0
2012-04-11 06:00:00+00:00,2012-04-11,-0.7474628312955499,-0.7569544228040649,-0.7617002185583224,BASE,0
2012-04-12 06:00:00+00:00,2012-04-12,-1.0,-1.010978206174105,-1.0164673092611576,BASE,0
2012-04-18 07:00:00+00:00,2012-04-18,-1.0,-1.0098192229128735,-1.0147288343693104,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-04-19 07:00:00+00:00,2012-04-19,-1.0,-1.0098978021810945,-1.0148467032716417,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-04-23 07:00:00+00:00,2012-04-23,-0.36357887005426787,-0.3736086319867997,-0.3786235129530657,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-04-25 07:00:00+00:00,2012-04-25,-1.0,-1.013565709097595,-1.0203485636463923,LON_H1|RISE_CANDLE|2.25|1.5,1
2012-04-30 06:00:00+00:00,2012-04-30,-1.0,-1.0121238592757245,-1.0181857889135866,BASE,0
2012-05-01 06:00:00+00:00,2012-05-01,-1.0,-1.0165230427310017,-1.0247845640965025,BASE,0
2012-05-02 06:00:00+00:00,2012-05-02,-1.0,-1.0127754889124896,-1.0191632333687344,BASE,0
