slot,family,sl,rr,n_train,evc_train,evs_train,n_oos,evc_oos,evs_oos,n_2026,evc_2026,evs_2026,n_full,evc_full,evs_full,pf_full,days_full,robust_score,freq_score
LON_H1,RISE_CANDLE,2.25,1.5,286,0.028116382093570272,0.02097857666885041,136,0.03057274439672424,0.022992780911032053,19,0.1946528151113471,0.18608138671206054,422,0.028908005963781035,0.021627704102349706,1.0967127641137346,422,0.5775846756427595,34.547923378213795
LON_H1,RISE_CANDLE,2.25,1.0,286,0.018256984469999286,0.011119179045279442,136,0.02428389438565562,0.016703930899963453,19,0.1367263829509302,0.1281549545516436,422,0.02019930614897858,0.012919004287547263,1.08205294108301,422,0.37504663360407536,33.535233168020376
LON_H1,RISE_CANDLE,2.25,0.3,286,0.015877162520555006,0.008739357095835154,136,0.06910010565643196,0.06152014217073979,19,0.21443609056984778,0.2058646621705612,422,0.03302958021363383,0.025749278352202528,1.2515374905799999,422,0.3261588114019568,33.290794057009784
LON_H1,RISE_CANDLE,2.5,0.3,286,0.014822122248572718,0.008398097366324846,136,0.0489045636015409,0.04208259646441794,19,0.07930827098654725,0.07159398542718927,422,0.02580603699739659,0.0192537653221084,1.1995133714953805,422,0.30448550040287586,33.18242750201438
LON_H1,RISE_CANDLE,3.0,0.4,286,0.0025229012806713444,-0.0028304527878685384,136,0.039312535416308456,0.03362756280203932,19,0.06401728414135646,0.0575887128418915,422,0.014379276262772401,0.008919049866698921,1.1027683644521677,422,0.05182704919238151,31.919135245961908
LON_H1,RISE_CANDLE,2.5,0.4,286,0.0012157329705763545,-0.005208291911671524,136,0.0590807604353034,0.052258793298180464,19,0.09342377016024284,0.08570948460088489,422,0.019864177840725368,0.013311906165437181,1.1322666266971115,422,0.024974363029414463,31.784871815147074
LON_H1,RISE_CANDLE,3.0,1.5,286,0.0010849287802744186,-0.0042684252882654655,136,0.0470642782072638,0.04137930559299468,19,0.22738357688110844,0.22095500558164352,422,0.015902918169067196,0.01044269177299371,1.072925769413744,422,0.022287299822746257,31.771436499113733
LON_OPEN,EXPAND_BODY60,2.25,0.6,243,0.009794771384470921,0.0024993188632505495,138,0.03361986531184076,0.025454732161956296,17,0.2551742310698136,0.24668622975564544,381,0.018424332964463146,0.01081387801081326,1.0988919941973645,381,0.19118631019665924,29.385931550983297
LON_OPEN,EXPAND_BODY60,1.5,0.6,243,0.009502062326261029,-0.0014411164555695288,138,0.01898286141991178,0.006735161695085041,17,0.009830113704554262,-0.002901888266698055,381,0.01293605254915815,0.0015203701186832959,1.1016969106959031,381,0.18547285731413327,29.357364286570665
LON_OPEN,EXPAND_BODY60,1.5,0.75,243,0.007443666431440536,-0.0034995123503900262,138,0.027499387034899805,0.01525168731007309,17,0.04746722895766158,0.034735226986409275,381,0.014707943185449403,0.0032922607549745603,1.0935553943623697,381,0.14529457232847115,29.156472861642357
LON_OPEN,EXPAND_BODY60,2.25,0.4,243,0.04257410631591907,0.03527865379469871,138,0.003304500409095146,-0.004860632740789327,17,0.21831811501872242,0.2098301137045543,381,0.028350469530770247,0.02074001457712037,1.172532906229803,381,0.06450127475766278,28.752506373788314
LON_H1,EXPAND_BODY60,3.0,1.5,260,0.017326207356298255,0.012172177678863503,121,0.03469884011837626,0.029290788217909335,11,0.4146796196989737,0.4085950952767457,381,0.022843500175750858,0.017608796773941043,1.0913838268299147,381,0.3381940756069835,24.12097037803492
