filter,sl_atr,rr,period,trades,wr,pf,ev,ev_comm,ev_stress,total,maxdd,positive_years,years
NONE,0.75,0.2,TRAIN_2012_2021,440,0.18181818181818182,0.04444444444444444,-0.7818181818181819,-0.8274072832225019,-0.850201833924662,-344.0,344.20000000000033,0,10
NONE,0.75,0.2,OOS_2022_2026,197,0.15736040609137056,0.03734939759036146,-0.8111675126903554,-0.861734834154518,-0.8870184948865992,-159.8,159.80000000000013,0,5
NONE,0.75,0.2,YTD_2026,28,0.25,0.06666666666666667,-0.7000000000000001,-0.7536979817164858,-0.7805469725747287,-19.6,19.6,0,1
NONE,0.75,0.2,FULL_2012_2026,637,0.17425431711145997,0.042205323193916344,-0.790894819466248,-0.8380234959911159,-0.8615878342535499,-503.79999999999995,503.8000000000007,0,15
NONE,0.75,0.25,TRAIN_2012_2021,440,0.18181818181818182,0.05555555555555555,-0.7727272727272727,-0.8183163741315927,-0.8411109248337528,-340.0,340.25,0,10
NONE,0.75,0.25,OOS_2022_2026,197,0.15228426395939088,0.04491017964071856,-0.8096446700507615,-0.8602119915149239,-0.8854956522470053,-159.5,159.5,0,5
NONE,0.75,0.25,YTD_2026,28,0.25,0.08333333333333333,-0.6875,-0.7411979817164861,-0.7680469725747286,-19.25,19.25,0,1
NONE,0.75,0.25,FULL_2012_2026,637,0.1726844583987441,0.05218216318785579,-0.7841444270015698,-0.8312731035264378,-0.8548374417888718,-499.5,499.5,0,15
NONE,0.75,0.3,TRAIN_2012_2021,440,0.18181818181818182,0.06666666666666665,-0.7636363636363637,-0.8092254650406837,-0.8320200157428436,-336.0,336.29999999999967,0,10
NONE,0.75,0.3,OOS_2022_2026,197,0.15228426395939088,0.053892215568862284,-0.8020304568527918,-0.8525977783169545,-0.8778814390490356,-158.0,157.99999999999991,0,5
NONE,0.75,0.3,YTD_2026,28,0.25,0.1,-0.6749999999999999,-0.728697981716486,-0.7555469725747288,-18.9,18.9,0,1
NONE,0.75,0.3,FULL_2012_2026,637,0.1726844583987441,0.06261859582542692,-0.7755102040816327,-0.8226388806065006,-0.8462032188689343,-494.00000000000006,493.9999999999993,0,15
NONE,0.75,0.4,TRAIN_2012_2021,440,0.175,0.08484848484848483,-0.755,-0.80058910140432,-0.8233836521064799,-332.2,332.5999999999999,0,10
NONE,0.75,0.4,OOS_2022_2026,197,0.15228426395939088,0.07185628742514973,-0.7868020304568528,-0.8373693519210155,-0.8626530126530967,-155.0,154.99999999999991,0,5
NONE,0.75,0.4,YTD_2026,28,0.25,0.13333333333333333,-0.65,-0.7036979817164859,-0.7305469725747288,-18.2,18.2,0,1
NONE,0.75,0.4,FULL_2012_2026,637,0.16797488226059654,0.08075471698113207,-0.7648351648351648,-0.8119638413600326,-0.8355281796224666,-487.2,487.2000000000006,0,15
NONE,0.75,0.5,TRAIN_2012_2021,440,0.16818181818181818,0.10109289617486339,-0.7477272727272727,-0.7933163741315928,-0.8161109248337528,-329.0,329.5,0,10
NONE,0.75,0.5,OOS_2022_2026,197,0.14213197969543148,0.08284023668639054,-0.7868020304568528,-0.8373693519210155,-0.8626530126530967,-155.0,155.0,0,5
NONE,0.75,0.5,YTD_2026,28,0.21428571428571427,0.13636363636363635,-0.6785714285714286,-0.7322694102879146,-0.7591184011461573,-19.0,19.0,0,1
NONE,0.75,0.5,FULL_2012_2026,637,0.16012558869701726,0.09532710280373832,-0.7598116169544741,-0.806940293479342,-0.830504631741776,-484.0,484.0,0,15
NONE,0.75,0.6,TRAIN_2012_2021,440,0.16818181818181818,0.12131147540983606,-0.730909090909091,-0.7764981923134109,-0.799292743015571,-321.6,322.20000000000016,0,10
NONE,0.75,0.6,OOS_2022_2026,197,0.13705583756345177,0.09529411764705882,-0.7807106598984772,-0.8312779813626399,-0.856561642094721,-153.8,153.8000000000001,0,5
NONE,0.75,0.6,YTD_2026,28,0.17857142857142858,0.13043478260869565,-0.7142857142857143,-0.7679836960022002,-0.794832686860443,-20.0,20.0,0,1
NONE,0.75,0.6,FULL_2012_2026,637,0.15855572998430142,0.1130597014925373,-0.7463108320251178,-0.7934395085499856,-0.8170038468124197,-475.40000000000003,475.3999999999995,0,15
NONE,0.75,0.75,TRAIN_2012_2021,440,0.16590909090909092,0.14918256130790192,-0.709659090909091,-0.755248192313411,-0.778042743015571,-312.25,313.0,0,10
NONE,0.75,0.75,OOS_2022_2026,197,0.1218274111675127,0.10404624277456648,-0.7868020304568528,-0.8373693519210155,-0.8626530126530967,-155.0,155.0,0,5
NONE,0.75,0.75,YTD_2026,28,0.14285714285714285,0.125,-0.75,-0.8036979817164859,-0.8305469725747286,-21.0,21.0,0,1
NONE,0.75,0.75,FULL_2012_2026,637,0.152276295133438,0.13472222222222222,-0.7335164835164835,-0.7806451600413514,-0.8042094983037854,-467.25,467.25,0,15
NONE,0.75,1.0,TRAIN_2012_2021,440,0.15681818181818183,0.18598382749326145,-0.6863636363636364,-0.7319527377679564,-0.7547472884701165,-302.0,303.0,0,10
NONE,0.75,1.0,OOS_2022_2026,197,0.1065989847715736,0.11931818181818182,-0.7868020304568528,-0.8373693519210155,-0.8626530126530967,-155.0,155.0,0,5
NONE,0.75,1.0,YTD_2026,28,0.14285714285714285,0.16666666666666666,-0.7142857142857143,-0.7679836960022002,-0.794832686860443,-20.0,20.0,0,1
NONE,0.75,1.0,FULL_2012_2026,637,0.141287284144427,0.16453382084095064,-0.717425431711146,-0.7645541082360139,-0.7881184464984479,-457.0,457.0,0,15
NONE,1.0,0.2,TRAIN_2012_2021,440,0.39090909090909093,0.12835820895522385,-0.5309090909090909,-0.565100916962331,-0.582196829988951,-233.6,234.00000000000023,0,10
NONE,1.0,0.2,OOS_2022_2026,197,0.3604060913705584,0.11269841269841264,-0.5675126903553298,-0.6054381814534519,-0.6244009270025128,-111.79999999999998,111.79999999999987,0,5
NONE,1.0,0.2,YTD_2026,28,0.39285714285714285,0.12941176470588237,-0.5285714285714286,-0.568844914858793,-0.5889816580024752,-14.8,14.799999999999997,0,1
NONE,1.0,0.2,FULL_2012_2026,637,0.3814756671899529,0.12335025380710662,-0.5422291993720565,-0.5775757067657074,-0.5952489604625328,-345.4,345.60000000000105,0,15
NONE,1.0,0.25,TRAIN_2012_2021,440,0.3840909090909091,0.1559040590405904,-0.5198863636363636,-0.5540781896896037,-0.5711741027162237,-228.75,229.25,0,10
NONE,1.0,0.25,OOS_2022_2026,197,0.350253807106599,0.134765625,-0.5621827411167513,-0.6001082322148732,-0.6190709777639342,-110.75,110.75,0,5
NONE,1.0,0.25,YTD_2026,28,0.39285714285714285,0.16176470588235295,-0.5089285714285714,-0.5492020577159358,-0.569338800859618,-14.25,14.25,0,1
NONE,1.0,0.25,FULL_2012_2026,637,0.37362637362637363,0.14912280701754385,-0.532967032967033,-0.5683135403606839,-0.5859867940575094,-339.5,339.75,0,15
NONE,1.0,0.3,TRAIN_2012_2021,440,0.3795454545454545,0.1835164835164835,-0.5065909090909092,-0.5407827351441492,-0.5578786481707692,-222.90000000000003,223.49999999999983,0,10
NONE,1.0,0.3,OOS_2022_2026,197,0.34517766497461927,0.15813953488372096,-0.551269035532995,-0.5891945266311168,-0.6081572721801778,-108.60000000000001,108.60000000000011,0,5
NONE,1.0,0.3,YTD_2026,28,0.39285714285714285,0.1941176470588235,-0.48928571428571427,-0.5295592005730787,-0.5496959437167608,-13.7,13.700000000000003,0,1
NONE,1.0,0.3,FULL_2012_2026,637,0.36891679748822603,0.17537313432835813,-0.5204081632653063,-0.555754670658957,-0.5734279243557824,-331.50000000000006,331.79999999999905,0,15
NONE,1.0,0.4,TRAIN_2012_2021,440,0.36363636363636365,0.22857142857142854,-0.4909090909090909,-0.525100916962331,-0.5421968299889509,-216.0,216.79999999999967,0,10
NONE,1.0,0.4,OOS_2022_2026,197,0.3350253807106599,0.20152671755725188,-0.5309644670050762,-0.5688899581031981,-0.587852703652259,-104.6,104.59999999999982,0,5
NONE,1.0,0.4,YTD_2026,28,0.35714285714285715,0.2222222222222222,-0.5,-0.5402734862873644,-0.5604102294310465,-14.0,13.999999999999998,0,1
NONE,1.0,0.4,FULL_2012_2026,637,0.35478806907378335,0.2199513381995134,-0.5032967032967033,-0.5386432106903541,-0.5563164643871796,-320.6,321.0000000000004,0,15
NONE,1.0,0.5,TRAIN_2012_2021,440,0.3477272727272727,0.2665505226480836,-0.4784090909090909,-0.512600916962331,-0.529696829988951,-210.5,211.5,0,10
NONE,1.0,0.5,OOS_2022_2026,197,0.3147208121827411,0.22962962962962963,-0.5279187817258884,-0.5658442728240102,-0.5848070183730713,-104.0,104.0,0,5
NONE,1.0,0.5,YTD_2026,28,0.25,0.16666666666666666,-0.625,-0.6652734862873644,-0.6854102294310466,-17.5,17.5,0,1
NONE,1.0,0.5,FULL_2012_2026,637,0.33751962323390894,0.254739336492891,-0.4937205651491366,-0.5290670725427875,-0.546740326239613,-314.5,315.0,0,15
NONE,1.0,0.6,TRAIN_2012_2021,440,0.32727272727272727,0.29189189189189185,-0.4763636363636364,-0.5105554624168764,-0.5276513754434965,-209.6,210.8000000000003,0,10
NONE,1.0,0.6,OOS_2022_2026,197,0.27918781725888325,0.23239436619718315,-0.5532994923857868,-0.5912249834839086,-0.6101877290329697,-109.0,109.00000000000011,0,5
NONE,1.0,0.6,YTD_2026,28,0.25,0.2,-0.6,-0.6402734862873645,-0.6604102294310467,-16.8,16.800000000000004,0,1
NONE,1.0,0.6,FULL_2012_2026,637,0.31240188383045525,0.27260273972602733,-0.5001569858712717,-0.5355034932649225,-0.5531767469617479,-318.6,319.1999999999998,0,15
NONE,1.0,0.75,TRAIN_2012_2021,440,0.29772727272727273,0.3179611650485437,-0.47897727272727275,-0.5131690987805128,-0.5302650118071327,-210.75,212.25,0,10
NONE,1.0,0.75,OOS_2022_2026,197,0.25888324873096447,0.261986301369863,-0.5469543147208121,-0.5848798058189341,-0.6038425513679951,-107.75,107.75,0,5
NONE,1.0,0.75,YTD_2026,28,0.25,0.25,-0.5625,-0.6027734862873644,-0.6229102294310466,-15.75,15.75,0,1
NONE,1.0,0.75,FULL_2012_2026,637,0.2857142857142857,0.3,-0.5,-0.535346507393651,-0.5530197610904763,-318.5,319.25,0,15
