filter,sl_atr,rr,period,trades,wr,pf,ev,ev_comm,ev_stress,total,maxdd,positive_years,years
NONE,0.75,0.2,TRAIN,422,0.18246445497630331,0.044637681159420274,-0.7810426540284361,-0.8264251437904286,-0.849116388671425,-329.6,329.8000000000003,0,10
NONE,0.75,0.2,OOS,190,0.1631578947368421,0.03899371069182391,-0.8042105263157895,-0.8537396071896449,-0.8785041476265724,-152.8,152.80000000000004,0,5
NONE,0.75,0.2,YTD2026,28,0.25,0.06666666666666667,-0.7000000000000001,-0.7536979817164858,-0.7805469725747287,-19.6,19.6,0,1
NONE,0.75,0.2,FULL,612,0.17647058823529413,0.04285714285714285,-0.788235294117647,-0.8349051242575055,-0.858240039327435,-482.4,482.40000000000066,0,15
NONE,0.75,0.25,TRAIN,422,0.18246445497630331,0.05579710144927536,-0.7719194312796208,-0.8173019210416136,-0.83999316592261,-325.75,326.0,0,10
NONE,0.75,0.25,OOS,190,0.15789473684210525,0.046875,-0.8026315789473685,-0.8521606598212238,-0.8769252002581512,-152.5,152.5,0,5
NONE,0.75,0.25,YTD2026,28,0.25,0.08333333333333333,-0.6875,-0.7411979817164861,-0.7680469725747286,-19.25,19.25,0,1
NONE,0.75,0.25,FULL,612,0.17483660130718953,0.05297029702970297,-0.7814542483660131,-0.8281240785058717,-0.8514589935758008,-478.25,478.25,0,15
NONE,0.75,0.3,TRAIN,422,0.18246445497630331,0.06695652173913044,-0.7627962085308057,-0.8081786982927984,-0.8308699431737948,-321.9,322.1999999999997,0,10
NONE,0.75,0.3,OOS,190,0.15789473684210525,0.05625000000000001,-0.7947368421052632,-0.8442659229791185,-0.8690304634160462,-151.0,150.99999999999997,0,5
NONE,0.75,0.3,YTD2026,28,0.25,0.1,-0.6749999999999999,-0.728697981716486,-0.7555469725747288,-18.9,18.9,0,1
NONE,0.75,0.3,FULL,612,0.17483660130718953,0.06356435643564355,-0.7727124183006535,-0.8193822484405121,-0.8427171635104413,-472.9,472.89999999999935,0,15
NONE,0.75,0.4,TRAIN,422,0.17535545023696683,0.0850574712643678,-0.7545023696682464,-0.7998848594302391,-0.8225761043112356,-318.4,318.79999999999984,0,10
NONE,0.75,0.4,OOS,190,0.15789473684210525,0.07500000000000002,-0.7789473684210526,-0.8284764492949079,-0.8532409897318357,-148.0,147.99999999999991,0,5
NONE,0.75,0.4,YTD2026,28,0.25,0.13333333333333333,-0.65,-0.7036979817164859,-0.7305469725747288,-18.2,18.2,0,1
NONE,0.75,0.4,FULL,612,0.16993464052287582,0.08188976377952756,-0.7620915032679738,-0.8087613334078323,-0.8320962484777616,-466.4,466.40000000000055,0,15
NONE,0.75,0.5,TRAIN,422,0.16824644549763032,0.10113960113960115,-0.7476303317535545,-0.7930128215155472,-0.8157040663965436,-315.5,316.0,0,10
NONE,0.75,0.5,OOS,190,0.14736842105263157,0.08641975308641975,-0.7789473684210526,-0.8284764492949079,-0.8532409897318355,-148.0,148.0,0,5
NONE,0.75,0.5,YTD2026,28,0.21428571428571427,0.13636363636363635,-0.6785714285714286,-0.7322694102879146,-0.7591184011461573,-19.0,19.0,0,1
NONE,0.75,0.5,FULL,612,0.16176470588235295,0.09649122807017543,-0.7573529411764706,-0.8040227713163292,-0.8273576863862584,-463.5,463.5,0,15
NONE,0.75,0.6,TRAIN,422,0.16824644549763032,0.1213675213675214,-0.7308056872037915,-0.7761881769657842,-0.7988794218467805,-308.4,309.00000000000017,0,10
NONE,0.75,0.6,OOS,190,0.14210526315789473,0.09938650306748466,-0.7726315789473683,-0.8221606598212239,-0.8469252002581513,-146.79999999999998,146.8000000000001,0,5
NONE,0.75,0.6,YTD2026,28,0.17857142857142858,0.13043478260869565,-0.7142857142857143,-0.7679836960022002,-0.794832686860443,-20.0,20.0,0,1
NONE,0.75,0.6,FULL,612,0.16013071895424835,0.11439688715953306,-0.7437908496732026,-0.7904606798130611,-0.8137955948829905,-455.20000000000005,455.19999999999953,0,15
NONE,0.75,0.75,TRAIN,422,0.16587677725118483,0.14914772727272727,-0.7097156398104265,-0.7550981295724192,-0.7777893744534154,-299.5,300.25,0,10
NONE,0.75,0.75,OOS,190,0.12631578947368421,0.10843373493975904,-0.7789473684210526,-0.8284764492949079,-0.8532409897318355,-148.0,148.0,0,5
NONE,0.75,0.75,YTD2026,28,0.14285714285714285,0.125,-0.75,-0.8036979817164859,-0.8305469725747286,-21.0,21.0,0,1
NONE,0.75,0.75,FULL,612,0.15359477124183007,0.1361003861003861,-0.7312091503267973,-0.7778789804666559,-0.8012138955365852,-447.5,447.5,0,15
NONE,0.75,1.0,TRAIN,422,0.15639810426540285,0.1853932584269663,-0.6872037914691943,-0.732586281231187,-0.7552775261121832,-290.0,291.0,0,10
NONE,0.75,1.0,OOS,190,0.11052631578947368,0.1242603550295858,-0.7789473684210526,-0.8284764492949079,-0.8532409897318354,-148.0,148.0,0,5
NONE,0.75,1.0,YTD2026,28,0.14285714285714285,0.16666666666666666,-0.7142857142857143,-0.7679836960022002,-0.794832686860443,-20.0,20.0,0,1
NONE,0.75,1.0,FULL,612,0.14215686274509803,0.1657142857142857,-0.7156862745098039,-0.7623561046496624,-0.7856910197195917,-438.0,438.0,0,15
NONE,1.0,0.2,TRAIN,422,0.3957345971563981,0.13098039215686272,-0.5251184834123223,-0.5591553507338167,-0.576173784394564,-221.6,222.00000000000023,0,10
NONE,1.0,0.2,OOS,190,0.3736842105263158,0.11932773109243693,-0.5515789473684211,-0.5887257580238124,-0.6072991633515082,-104.8,104.79999999999987,0,5
NONE,1.0,0.2,YTD2026,28,0.39285714285714285,0.12941176470588237,-0.5285714285714286,-0.568844914858793,-0.5889816580024752,-14.8,14.799999999999997,0,1
NONE,1.0,0.2,FULL,612,0.3888888888888889,0.1272727272727273,-0.5333333333333333,-0.5683357059382272,-0.5858368922406741,-326.4,326.60000000000105,0,15
NONE,1.0,0.25,TRAIN,422,0.3886255924170616,0.15891472868217055,-0.514218009478673,-0.5482548768001675,-0.5652733104609147,-217.0,217.5,0,10
NONE,1.0,0.25,OOS,190,0.3631578947368421,0.14256198347107438,-0.5460526315789473,-0.5831994422343388,-0.6017728475620345,-103.75,103.75,0,5
NONE,1.0,0.25,YTD2026,28,0.39285714285714285,0.16176470588235295,-0.5089285714285714,-0.5492020577159358,-0.569338800859618,-14.25,14.25,0,1
NONE,1.0,0.25,FULL,612,0.380718954248366,0.1536939313984169,-0.5241013071895425,-0.5591036797944364,-0.5766048660968833,-320.75,321.0,0,15
NONE,1.0,0.3,TRAIN,422,0.38388625592417064,0.18692307692307691,-0.5009478672985782,-0.5349847346200728,-0.55200316828082,-211.4,211.99999999999977,0,10
NONE,1.0,0.3,OOS,190,0.35789473684210527,0.1672131147540984,-0.5347368421052632,-0.5718836527606547,-0.5904570580883504,-101.6,101.60000000000011,0,5
NONE,1.0,0.3,YTD2026,28,0.39285714285714285,0.1941176470588235,-0.48928571428571427,-0.5295592005730787,-0.5496959437167608,-13.7,13.700000000000003,0,1
NONE,1.0,0.3,FULL,612,0.3758169934640523,0.1806282722513088,-0.511437908496732,-0.546440281101626,-0.5639414674040729,-313.0,313.299999999999,0,15
NONE,1.0,0.4,TRAIN,422,0.36729857819905215,0.23220973782771534,-0.48578199052132687,-0.5198188578428214,-0.5368372915035688,-204.99999999999994,205.79999999999973,0,10
NONE,1.0,0.4,OOS,190,0.3473684210526316,0.21290322580645157,-0.5136842105263157,-0.5508310211817072,-0.5694044265094029,-97.6,97.59999999999985,0,5
NONE,1.0,0.4,YTD2026,28,0.35714285714285715,0.2222222222222222,-0.5,-0.5402734862873644,-0.5604102294310465,-14.0,13.999999999999998,0,1
NONE,1.0,0.4,FULL,612,0.3611111111111111,0.22608695652173916,-0.49444444444444446,-0.5294468170493383,-0.5469480033517854,-302.6,303.0000000000004,0,15
NONE,1.0,0.5,TRAIN,422,0.35071090047393366,0.27007299270072993,-0.47393364928909953,-0.507970516610594,-0.5249889502713414,-200.0,201.0,0,10
