period,cost_model,risk_pct,trades,payouts,breaches,accounts_used,resolved_accounts,successful_accounts,payout_before_breach_rate,user_payouts,activation_costs,net_cash,avg_payout,avg_first_payout_days,median_first_payout_days,median_payout_gap_days,first_payout_date,total_trading_costs,avg_trading_cost_per_trade,max_lots,net_cash_per_year
FULL_2012_2026,COMMISSION,0.005,930,19,18,19,18,17,0.9444444444444444,61381.22309478874,10431.0,50950.22309478874,3230.5906891994073,263.4117647058824,183.0,193.5,2012-10-31,7001.003585559694,7.527960844687843,4.3699717560165725,3507.9300632180184
FULL_2012_2026,COMMISSION,0.006,930,21,23,24,23,19,0.8260869565217391,81543.0466347576,13176.0,68367.0466347576,3883.0022207027428,202.8421052631579,173.0,200.0,2013-02-25,8401.204302671613,9.03355301362539,5.243966107219887,4707.08082626677
FULL_2012_2026,COMMISSION,0.0075,930,20,23,24,23,19,0.8260869565217391,97437.25368112835,13176.0,84261.25368112835,4871.8626840564175,206.89473684210526,173.0,190.0,2013-10-24,10501.505378339525,11.291941267031747,6.554957634024858,5801.399228469771
FULL_2012_2026,COMMISSION,0.008,930,21,25,26,25,20,0.8,108591.24007339575,14274.0,94317.24007339575,5171.011432066464,196.95,179.0,196.0,2013-10-24,11201.6057368955,12.044737351500538,6.991954809626516,6493.755313253119
FULL_2012_2026,COMMISSION,0.01,930,24,34,35,34,22,0.6470588235294118,155880.55852892267,19215.0,136665.55852892267,6495.023272038445,143.9090909090909,123.5,180.0,2012-10-31,14002.007171119389,15.055921689375687,8.739943512033145,9409.443025954573
FULL_2012_2026,COMMISSION,0.0125,930,23,33,34,34,19,0.5588235294117647,185149.58791072926,18666.0,166483.58791072926,8049.982083075185,139.57894736842104,105.0,159.5,2013-02-25,17502.50896389922,18.819902111719593,10.92492939004143,11462.418564447476
FULL_2012_2026,COMMISSION,0.015,930,23,44,45,44,21,0.4772727272727273,225958.88080317882,24705.0,201253.88080317882,9824.2991653556,129.33333333333334,105.0,181.5,2013-02-25,21003.01075667905,22.583882534063495,13.109915268049717,13856.358145779655
FULL_2012_2026,COMMISSION,0.0175,930,24,51,52,51,22,0.43137254901960786,274006.54109215824,28548.0,245458.54109215824,11416.93921217326,117.54545454545455,91.5,182.0,2012-10-31,24503.51254945892,26.34786295640744,15.294901146058006,16899.855256156607
FULL_2012_2026,COMMISSION,0.02,930,24,56,57,56,21,0.375,311700.92557458667,31293.0,280407.92557458667,12987.538565607778,116.04761904761905,90.0,182.0,2012-10-31,28004.014342238777,30.111843378751374,17.47988702406629,19306.125318778093
FULL_2012_2026,COMMISSION,0.0225,930,25,59,60,59,22,0.3728813559322034,363228.0164626377,32940.0,330288.0164626377,14529.120658505508,113.13636363636364,90.5,165.0,2013-02-21,31504.516135018617,33.87582380109529,19.664872902074578,22740.376628271144
FULL_2012_2026,COMMISSION,0.025,930,25,63,64,63,22,0.3492063492063492,402783.0658763188,35136.0,367647.0658763188,16111.322635052751,109.18181818181819,89.0,165.0,2012-10-31,35005.01792779844,37.639804223439185,21.84985878008286,25312.55246207831
FULL_2012_2026,COMMISSION,0.027,930,25,63,64,63,22,0.3492063492063492,432822.6763503353,35136.0,397686.6763503353,17312.907054013413,109.45454545454545,89.0,165.0,2012-10-31,37805.41936202231,40.65098856131431,23.59784748248949,27380.783890096132
FULL_2012_2026,COMMISSION,0.028,930,26,65,66,65,23,0.35384615384615387,465668.98528826045,36234.0,429434.98528826045,17910.345588010015,108.82608695652173,93.0,134.0,2012-10-31,39205.62007913427,42.1565807302519,24.471841833692807,29566.659448923117
