trade_day,window,R,pnl,exit_dt
2026-01-02,LON_OPEN,0.4000783917346789,640.1254267754863,2026-01-02 19:00:00+00:00
2026-01-05,LON_OPEN,-1.0,-1600.0,2026-01-05 16:00:00+00:00
2026-01-06,LON_H1,1.5,2400.0,2026-01-06 15:00:00+00:00
2026-01-07,LON_OPEN,-0.1702387125235933,-272.38194003774925,2026-01-07 19:00:00+00:00
2026-01-08,LON_OPEN,1.5,2400.0,2026-01-08 17:00:00+00:00
2026-01-09,LON_OPEN,-1.0,-1600.0,2026-01-09 13:00:00+00:00
2026-01-12,LON_OPEN,-0.5716814216428394,-914.6902746285431,2026-01-12 19:00:00+00:00
2026-01-15,LON_H1,-1.0,-1600.0,2026-01-15 13:00:00+00:00
2026-01-19,LON_OPEN,-0.6829206782455692,-1092.6730851929108,2026-01-19 19:00:00+00:00
2026-01-20,LON_OPEN,1.5,2400.0,2026-01-20 09:00:00+00:00
2026-01-22,NY_H1,1.5,2400.0,2026-01-22 23:00:00+00:00
2026-01-30,LON_OPEN,-1.0,-1600.0,2026-01-30 15:00:00+00:00
2026-02-02,NY_H1,0.0885138142485428,141.62210279766848,2026-02-03 01:00:00+00:00
2026-02-05,NY_H1,-1.0,-1600.0,2026-02-05 15:00:00+00:00
2026-02-06,LON_H1,1.0822790592435485,1731.6464947896775,2026-02-06 20:00:00+00:00
2026-02-09,LON_OPEN,1.5,2400.0,2026-02-09 13:00:00+00:00
2026-02-11,LON_OPEN,-1.0,-1600.0,2026-02-11 13:00:00+00:00
2026-02-13,LON_OPEN,0.2878714517976214,460.59432287619427,2026-02-13 19:00:00+00:00
2026-02-16,NY_H1,-0.6358247737737645,-1017.3196380380231,2026-02-17 01:00:00+00:00
2026-02-17,LON_H1,-1.0,-1600.0,2026-02-17 11:00:00+00:00
2026-02-18,LON_OPEN,1.5,2400.0,2026-02-18 17:00:00+00:00
2026-02-19,NY_H1,-1.0,-1600.0,2026-02-19 15:00:00+00:00
2026-02-23,LON_OPEN,0.862074503908121,1379.3192062529936,2026-02-23 19:00:00+00:00
2026-02-24,NY_H1,-0.4074363569326621,-651.8981710922594,2026-02-25 01:00:00+00:00
2026-02-25,LON_OPEN,-0.3886025080877687,-621.7640129404299,2026-02-25 19:00:00+00:00
2026-02-27,LON_H1,-0.3130099844882504,-500.81597518120066,2026-02-27 20:00:00+00:00
2026-03-02,LON_OPEN,-1.0,-1600.0,2026-03-02 10:00:00+00:00
2026-03-03,LON_OPEN,1.5,2400.0,2026-03-03 11:00:00+00:00
2026-03-05,LON_OPEN,-1.0,-1600.0,2026-03-05 09:00:00+00:00
2026-03-06,LON_H1,1.5,2400.0,2026-03-06 13:00:00+00:00
2026-03-12,NY_H1,0.2771327177612672,443.4123484180275,2026-03-13 00:00:00+00:00
2026-03-13,LON_OPEN,-1.0,-1600.0,2026-03-13 12:00:00+00:00
2026-03-17,LON_H1,0.6056489845698398,969.0383753117437,2026-03-17 20:00:00+00:00
2026-03-20,LON_OPEN,-1.0,-1600.0,2026-03-20 10:00:00+00:00
2026-03-23,NY_H1,-0.3820089627689074,-611.2143404302518,2026-03-24 00:00:00+00:00
2026-03-24,LON_H1,-0.5184050507833695,-829.4480812533913,2026-03-24 20:00:00+00:00
2026-03-26,LON_OPEN,0.9440357178055568,1510.4571484888909,2026-03-26 19:00:00+00:00
2026-03-27,LON_OPEN,-1.0,-1600.0,2026-03-27 15:00:00+00:00
2026-03-30,LON_H1,1.5,2400.0,2026-03-30 15:00:00+00:00
2026-03-31,NY_H1,1.5,2400.0,2026-03-31 16:00:00+00:00
2026-04-01,LON_OPEN,-0.3932675304576756,-629.228048732281,2026-04-01 18:00:00+00:00
2026-04-02,LON_OPEN,0.0180022573429002,28.803611748640318,2026-04-02 18:00:00+00:00
2026-04-06,LON_OPEN,0.3558891187177434,569.4225899483895,2026-04-06 18:00:00+00:00
2026-04-08,LON_H1,0.2461785017186771,393.8856027498834,2026-04-08 19:00:00+00:00
2026-04-10,NY_H1,-1.0,-1600.0,2026-04-12 21:00:00+00:00
2026-04-14,LON_OPEN,0.5518202446669996,882.9123914671994,2026-04-14 18:00:00+00:00
2026-04-17,LON_H1,1.5,2400.0,2026-04-17 12:00:00+00:00
2026-04-21,LON_H1,1.5,2400.0,2026-04-21 17:00:00+00:00
2026-04-22,NY_H1,0.4518471321382315,722.9554114211704,2026-04-23 00:00:00+00:00
2026-04-27,LON_H1,-1.0,-1600.0,2026-04-27 17:00:00+00:00
2026-04-28,LON_OPEN,-1.0,-1600.0,2026-04-28 08:00:00+00:00
2026-04-29,NY_H1,0.6594583658212657,1055.1333853140252,2026-04-30 00:00:00+00:00
2026-05-04,NY_H1,-0.8101981962896035,-1296.3171140633656,2026-05-05 00:00:00+00:00
2026-05-05,LON_OPEN,0.4384113296488601,701.4581274381761,2026-05-05 18:00:00+00:00
2026-05-06,LON_OPEN,1.5,2400.0,2026-05-06 09:00:00+00:00
2026-05-08,NY_H1,-1.0,-1600.0,2026-05-10 21:00:00+00:00
2026-05-12,LON_H1,0.148983319479408,238.37331116705278,2026-05-12 19:00:00+00:00
2026-05-13,LON_OPEN,0.5537362680541528,885.9780288866444,2026-05-13 18:00:00+00:00
2026-05-14,NY_H1,1.5,2400.0,2026-05-14 20:00:00+00:00
2026-05-15,LON_OPEN,-1.0,-1600.0,2026-05-15 09:00:00+00:00
2026-05-19,LON_OPEN,1.5,2400.0,2026-05-19 14:00:00+00:00
2026-05-26,NY_H1,-0.3787956552088733,-606.0730483341973,2026-05-27 00:00:00+00:00
2026-05-27,LON_H1,-1.0,-1600.0,2026-05-27 12:00:00+00:00
2026-06-02,LON_H1,1.5,2400.0,2026-06-02 18:00:00+00:00
2026-06-03,LON_H1,0.7935905377734359,1269.7448604374974,2026-06-03 19:00:00+00:00
2026-06-04,NY_H1,0.995826694817414,1593.3227117078625,2026-06-05 00:00:00+00:00
2026-06-05,LON_H1,-1.0,-1600.0,2026-06-05 12:00:00+00:00
2026-06-09,NY_H1,-1.0,-1600.0,2026-06-09 15:00:00+00:00
2026-06-15,LON_H1,0.5852163984415414,936.3462375064662,2026-06-15 19:00:00+00:00
2026-06-17,NY_H1,-1.0,-1600.0,2026-06-17 14:00:00+00:00
2026-06-18,LON_H1,1.5,2400.0,2026-06-18 10:00:00+00:00
2026-06-22,LON_H1,0.8002084831338028,1280.3335730140843,2026-06-22 19:00:00+00:00
2026-06-23,LON_H1,1.2685793911889958,2029.7270259023933,2026-06-23 19:00:00+00:00
2026-06-24,NY_H1,-1.0,-1600.0,2026-06-24 14:00:00+00:00
2026-06-25,LON_H1,-1.0,-1600.0,2026-06-25 11:00:00+00:00
2026-06-26,LON_H1,1.5,2400.0,2026-06-26 12:00:00+00:00
