label,account,date,balance,floor,pnl,window
OFFICIAL_CONTINUOUS_TRAIL_ONE_ACCOUNT,1,2026-01-05,46750.09798966835,47000.0,-1250.0,LON_OPEN
OFFICIAL_CONTINUOUS_TRAIL_LONDON_ACCOUNT,1,2026-01-12,48322.69782196031,48537.29959901386,-1250.0,LON_H1
OFFICIAL_CONTINUOUS_TRAIL_NY_ACCOUNT,1,2026-02-25,49736.60594394126,49779.473967175436,-509.2954461658276,NY_H1
OFFICIAL_CONTINUOUS_TRAIL_NY_ACCOUNT,2,2026-04-12,47119.71027103066,47487.1941641033,-1250.0,NY_H1
OFFICIAL_CONTINUOUS_TRAIL_NY_ACCOUNT,3,2026-05-12,46960.71984941042,47366.568221376314,-1250.0,NY_H1
OFFICIAL_CONTINUOUS_TRAIL_NY_ACCOUNT,4,2026-06-24,49885.86488135781,50000.0,-885.4239181528665,NY_H1
OFFICIAL_CONTINUOUS_TRAIL_NY_ACCOUNT,5,2026-07-06,46250.0,47000.0,-1250.0,NY_H1
OFFICIAL_CONTINUOUS_TRAIL_NY_ACCOUNT,6,2026-08-06,48223.64511776148,48410.61186271765,-686.9667449561706,NY_H1
CUSTOM_FIXED6_UNTIL_PAYOUT_ONE_ACCOUNT,1,2026-01-05,46750.09798966835,47000.0,-1250.0,LON_OPEN
CUSTOM_FIXED6_UNTIL_PAYOUT_LONDON_ACCOUNT,1,2026-01-19,46219.04697415335,47000.0,-853.6508478069616,LON_OPEN
CUSTOM_FIXED6_UNTIL_PAYOUT_LONDON_ACCOUNT,2,2026-06-05,48750.0,50000.0,-1250.0,LON_H1
CUSTOM_FIXED6_UNTIL_PAYOUT_NY_ACCOUNT,1,2026-04-12,46856.316214971914,47000.0,-1250.0,NY_H1
CUSTOM_FIXED6_UNTIL_PAYOUT_NY_ACCOUNT,2,2026-05-12,46960.71984941042,47000.0,-1250.0,NY_H1
CUSTOM_FIXED6_UNTIL_PAYOUT_NY_ACCOUNT,3,2026-07-06,46135.86488135781,47000.0,-1250.0,NY_H1
