account,start_date,first_payout_date,first_payout_days,payout_count,user_payout_total_200k,breach_date,status,success,failed_before_payout
1,2012-01-02,,,0,0.0,2012-04-30,breached_before_payout,False,True
2,2012-04-30,,,0,0.0,2012-05-04,breached_before_payout,False,True
3,2012-05-04,2012-09-07,126.0,1,36865.80788275709,2012-09-11,breached_after_payout,True,False
4,2012-09-11,,,0,0.0,2012-09-26,breached_before_payout,False,True
5,2012-09-26,2012-11-07,42.0,1,36349.761042095604,2012-11-13,breached_after_payout,True,False
6,2012-11-13,2013-02-19,98.0,1,33304.10777541539,2013-04-22,breached_after_payout,True,False
7,2013-04-22,,,0,0.0,2013-04-25,breached_before_payout,False,True
8,2013-04-25,,,0,0.0,2013-06-05,breached_before_payout,False,True
9,2013-06-05,2013-09-09,96.0,1,35444.77180375601,2013-09-16,breached_after_payout,True,False
10,2013-09-16,,,0,0.0,2013-09-25,breached_before_payout,False,True
11,2013-09-25,2014-01-02,99.0,1,33665.91305418117,2014-02-27,breached_after_payout,True,False
12,2014-02-27,2014-04-08,40.0,1,33939.166551985756,2014-04-11,breached_after_payout,True,False
13,2014-04-11,,,0,0.0,2014-04-17,breached_before_payout,False,True
14,2014-04-17,,,0,0.0,2014-04-29,breached_before_payout,False,True
15,2014-04-29,,,0,0.0,2014-05-05,breached_before_payout,False,True
16,2014-05-05,,,0,0.0,2014-05-22,breached_before_payout,False,True
17,2014-05-22,2014-07-22,61.0,2,66350.57332623897,2014-11-28,breached_after_payout,True,False
18,2014-11-28,2015-02-20,84.0,1,34151.22549136959,2015-02-23,breached_after_payout,True,False
19,2015-02-23,,,0,0.0,2015-04-27,breached_before_payout,False,True
20,2015-04-27,,,0,0.0,2015-05-06,breached_before_payout,False,True
21,2015-05-06,,,0,0.0,2015-06-19,breached_before_payout,False,True
22,2015-06-19,2015-07-27,38.0,1,36330.345840111775,2015-07-30,breached_after_payout,True,False
23,2015-07-30,,,0,0.0,2015-08-05,breached_before_payout,False,True
24,2015-08-05,,,0,0.0,2015-08-19,breached_before_payout,False,True
25,2015-08-19,2015-12-15,118.0,1,34622.049090666,2015-12-18,breached_after_payout,True,False
26,2015-12-18,,,0,0.0,2015-12-29,breached_before_payout,False,True
27,2015-12-29,2016-05-27,150.0,1,34449.071517347664,2016-07-15,breached_after_payout,True,False
28,2016-07-15,,,0,0.0,2016-07-28,breached_before_payout,False,True
29,2016-07-28,2016-08-23,26.0,1,33652.07893404549,2016-08-24,breached_after_payout,True,False
30,2016-08-24,,,0,0.0,2016-09-01,breached_before_payout,False,True
31,2016-09-01,2016-10-20,49.0,1,34059.00698350356,2016-10-25,breached_after_payout,True,False
32,2016-10-25,2017-04-11,168.0,1,35356.417323629794,2017-04-12,breached_after_payout,True,False
33,2017-04-12,,,0,0.0,2017-05-12,breached_before_payout,False,True
34,2017-05-12,2017-11-24,196.0,3,105676.19783878746,2018-02-02,breached_after_payout,True,False
35,2018-02-02,2018-03-22,48.0,1,32843.23761207892,2018-03-23,breached_after_payout,True,False
36,2018-03-23,,,0,0.0,2018-05-22,breached_before_payout,False,True
37,2018-05-22,,,0,0.0,2018-05-28,breached_before_payout,False,True
38,2018-05-28,,,0,0.0,2018-06-08,breached_before_payout,False,True
39,2018-06-08,,,0,0.0,2018-07-02,breached_before_payout,False,True
40,2018-07-02,,,0,0.0,2018-07-13,breached_before_payout,False,True
41,2018-07-13,,,0,0.0,2018-07-18,breached_before_payout,False,True
42,2018-07-18,,,0,0.0,2018-12-18,breached_before_payout,False,True
43,2018-12-18,,,0,0.0,2019-05-03,breached_before_payout,False,True
44,2019-05-03,,,0,0.0,2019-05-15,breached_before_payout,False,True
