cycle,start_account,success_account,accounts_to_first_payout,failed_accounts_before_success,capital_cost_50k_usd,first_payout_days_on_success_account
1,1,3,3,2,1047.0,126.0
2,4,5,2,1,698.0,42.0
3,6,6,1,0,349.0,98.0
4,7,9,3,2,1047.0,96.0
5,10,11,2,1,698.0,99.0
6,12,12,1,0,349.0,40.0
7,13,17,5,4,1745.0,61.0
8,18,18,1,0,349.0,84.0
9,19,22,4,3,1396.0,38.0
10,23,25,3,2,1047.0,118.0
11,26,27,2,1,698.0,150.0
12,28,29,2,1,698.0,26.0
13,30,31,2,1,698.0,49.0
14,32,32,1,0,349.0,168.0
15,33,34,2,1,698.0,196.0
16,35,35,1,0,349.0,48.0
17,36,46,11,10,3839.0,42.0
18,47,47,1,0,349.0,38.0
19,48,49,2,1,698.0,134.0
20,50,53,4,3,1396.0,77.0
21,54,54,1,0,349.0,27.0
22,55,57,3,2,1047.0,29.0
23,58,58,1,0,349.0,29.0
24,59,60,2,1,698.0,50.0
25,61,61,1,0,349.0,67.0
26,62,64,3,2,1047.0,112.0
27,65,65,1,0,349.0,44.0
28,66,67,2,1,698.0,89.0
29,68,68,1,0,349.0,59.0
30,69,70,2,1,698.0,51.0
31,71,74,4,3,1396.0,72.0
32,75,75,1,0,349.0,50.0
33,76,76,1,0,349.0,59.0
34,77,80,4,3,1396.0,35.0
35,81,84,4,3,1396.0,23.0
36,85,87,3,2,1047.0,21.0
37,88,88,1,0,349.0,163.0
38,89,89,1,0,349.0,166.0
39,90,90,1,0,349.0,132.0
