account,date,gross_200k,user_200k,user_50k
3,2012-09-07,46082.25985344636,36865.80788275709,9216.451970689273
5,2012-11-07,45437.201302619505,36349.761042095604,9087.440260523901
6,2013-02-19,41630.134719269234,33304.10777541539,8326.026943853847
9,2013-09-09,44305.964754695015,35444.77180375601,8861.192950939003
11,2014-01-02,42082.39131772646,33665.91305418117,8416.478263545292
12,2014-04-08,42423.95818998219,33939.166551985756,8484.791637996439
17,2014-07-22,41055.021299643064,32844.017039714454,8211.004259928613
17,2014-11-21,41883.195358155644,33506.556286524516,8376.639071631129
18,2015-02-20,42689.03186421198,34151.22549136959,8537.806372842397
22,2015-07-27,45412.93230013971,36330.345840111775,9082.586460027944
25,2015-12-15,43277.5613633325,34622.049090666,8655.5122726665
27,2016-05-27,43061.339396684576,34449.071517347664,8612.267879336916
29,2016-08-23,42065.09866755686,33652.07893404549,8413.019733511372
31,2016-10-20,42573.75872937945,34059.00698350356,8514.75174587589
32,2017-04-11,44195.52165453724,35356.417323629794,8839.104330907448
34,2017-11-24,43506.79321297549,34805.43457038039,8701.358642595098
34,2018-01-02,43758.98318426334,35007.186547410674,8751.796636852669
34,2018-02-01,44829.470901245484,35863.57672099639,8965.894180249097
35,2018-03-22,41054.04701509865,32843.23761207892,8210.80940301973
46,2019-10-01,47516.53431678278,38013.227453426225,9503.306863356556
47,2019-11-14,42094.64692983794,33675.71754387035,8418.929385967587
49,2020-04-07,45510.08860232431,36408.07088185945,9102.017720464863
53,2020-09-15,41185.53353009885,32948.426824079084,8237.106706019771
54,2020-10-13,40580.06629669151,32464.05303735321,8116.013259338302
54,2020-11-11,41221.871854410274,32977.49748352822,8244.374370882055
57,2021-02-09,41303.84186657696,33043.07349326157,8260.768373315392
58,2021-03-11,46085.75521110452,36868.60416888362,9217.151042220905
60,2021-05-06,42980.94034455274,34384.7522756422,8596.18806891055
61,2021-07-13,42741.72147666922,34193.377181335374,8548.344295333844
64,2021-11-26,48361.05821086708,38688.84656869366,9672.211642173415
65,2022-02-03,44355.47439501944,35484.37951601555,8871.094879003887
67,2022-05-24,45262.73926033068,36210.191408264545,9052.547852066136
68,2022-07-28,48383.62419908692,38706.89935926953,9676.724839817383
68,2022-08-22,41266.12471305576,33012.89977044461,8253.224942611152
70,2022-11-03,40775.16786018753,32620.134288150028,8155.033572037507
74,2023-05-04,43512.204326214356,34809.76346097149,8702.440865242872
75,2023-06-27,48392.19756576634,38713.75805261308,9678.43951315327
75,2023-11-06,40510.62830946091,32408.50264756873,8102.1256618921825
76,2024-01-05,42239.76695660627,33791.81356528502,8447.953391321254
80,2024-06-14,41389.75313877227,33111.80251101782,8277.950627754455
80,2024-07-29,41068.97196818996,32855.17757455197,8213.794393637992
84,2024-11-27,44279.778916678915,35423.82313334313,8855.955783335783
87,2025-03-11,41854.62021991273,33483.696175930185,8370.924043982546
88,2025-08-22,40757.15007149964,32605.72005719971,8151.430014299927
89,2026-02-09,41255.242378688155,33004.19390295052,8251.04847573763
90,2026-06-23,46531.59695997284,37225.27756797827,9306.319391994568
