slot,account_no,date,gross,user_payout,profitable_days,best_day,consistency,balance_before
3,1,2012-03-16,5317.731754701865,4254.185403761492,11,1012.5,0.190400728488187,30317.731754701865
1,3,2012-07-12,5675.735302384528,4540.588241907622,8,1012.5,0.17839098302815878,30675.735302384528
2,5,2012-11-21,5934.662731834778,4747.730185467823,16,1012.5,0.17060784171756505,30934.66273183478
3,5,2012-12-05,5435.634920720935,4348.507936576748,14,1012.5,0.1862707880068058,30435.634920720935
1,4,2012-12-19,5851.325407522127,4681.060326017701,19,1012.5,0.17303771871897405,30851.325407522127
1,5,2013-03-06,5831.312999677975,4665.05039974238,8,1012.5,0.173631564633199,30831.312999677975
3,8,2013-09-16,5143.775906449751,4115.020725159801,12,1012.5,0.19683983486341852,30143.77590644975
2,6,2013-12-27,5593.969205615318,4475.175364492255,33,1012.5,0.18099849369632495,30593.969205615318
3,9,2014-01-30,5881.710214305593,4705.368171444475,17,1012.5,0.17214380904679405,30881.710214305593
2,9,2014-09-04,5100.818552664954,4080.6548421319635,11,1012.5,0.19849755280375797,30100.818552664954
1,13,2014-11-18,5307.588167064572,4246.070533651658,33,1012.5,0.19076461250006438,30307.588167064572
2,11,2015-01-02,5266.321450130192,4213.057160104154,8,1012.5,0.1922594375576845,30266.32145013019
1,14,2015-02-26,5072.601715759058,4058.0813726072465,10,1012.5,0.19960171461017037,30072.601715759058
1,15,2015-07-17,5168.009900707144,4134.407920565715,10,1012.5,0.19591680733070163,30168.009900707144
3,16,2015-11-04,5585.233069965914,4468.186455972732,18,1012.5,0.18128160227450976,30585.233069965914
2,13,2016-02-15,5243.175956385141,4194.540765108113,20,1012.5,0.19310814827165532,30243.17595638514
3,18,2016-06-16,5097.386116951166,4077.9088935609325,12,1012.5,0.19863121544451368,30097.386116951166
1,21,2016-09-08,5391.181826552598,4312.945461242079,15,1012.5,0.18780668739704615,30391.181826552598
1,21,2016-11-25,5117.897665076063,4094.318132060851,10,1012.5,0.1978351397897582,30117.897665076063
3,20,2017-05-16,5950.321184160988,4760.25694732879,30,1012.5,0.1701588819600442,30950.32118416099
2,17,2017-06-23,5084.538517926147,4067.6308143409174,15,1012.5,0.19913311629566982,30084.538517926147
1,22,2017-12-15,5386.283442956195,4309.026754364956,38,1012.5,0.18797748219583146,30386.283442956195
2,20,2018-01-26,5132.4379002949645,4105.950320235972,12,1012.5,0.19727467134903104,30132.437900294964
2,21,2018-03-22,5477.8302173774755,4382.264173901981,8,1012.5,0.18483595873198436,30477.830217377475
3,22,2018-04-05,5723.408192565941,4578.726554052753,28,1012.5,0.1769050827643436,30723.40819256594
1,23,2018-04-25,5538.272582340509,4430.618065872407,18,1012.5,0.1828187372410101,30538.27258234051
3,25,2018-10-26,5172.797161571671,4138.2377292573365,22,1012.5,0.19573549249558594,30172.79716157167
1,28,2019-07-05,5325.410804296516,4260.328643437213,17,1012.5,0.19012617753040192,30325.410804296516
2,28,2019-09-04,5912.931021081215,4730.344816864972,16,1012.5,0.17123487427642245,30912.931021081215
2,29,2019-11-08,5527.012485037121,4421.609988029697,9,1012.5,0.18319119103513293,30527.01248503712
2,29,2020-01-08,5175.13059376035,4140.10447500828,12,1012.5,0.19564723665539382,30175.13059376035
3,28,2020-03-26,5273.370839145689,4218.696671316552,23,1012.5,0.19200242707831822,30273.37083914569
2,32,2020-09-09,5697.18407885675,4557.7472630854,25,1012.5,0.17771937609626573,30697.18407885675
3,29,2020-11-03,5093.195779527468,4074.5566236219747,22,1012.5,0.19879463579032824,30093.19577952747
1,37,2020-12-01,6004.676968918069,4803.741575134455,13,1012.5,0.16861856270387074,31004.67696891807
3,31,2021-03-25,5420.068823766942,4336.055059013554,13,1012.5,0.18680574600089922,30420.068823766942
1,39,2021-04-20,5766.217949449674,4612.974359559739,15,1012.5,0.1755916978643918,30766.217949449674
3,32,2021-06-11,5165.288438914977,4132.230751131981,10,1012.5,0.1960200310154773,30165.288438914977
1,39,2021-07-15,5860.675632173228,4688.540505738582,12,1012.5,0.17276165130888663,30860.67563217323
1,41,2021-09-16,5457.542758958192,4366.034207166554,7,1012.5,0.18552305400412095,30457.542758958192
2,37,2022-01-03,5305.825095382515,4244.660076306012,17,1012.5,0.19082800163939542,30305.825095382515
1,42,2022-01-20,5643.281008026162,4514.62480642093,17,1012.5,0.17941690278403127,30643.281008026162
3,36,2022-07-11,5368.0145186796435,4294.411614943715,15,1012.5,0.18861722457655386,30368.014518679644
2,38,2022-07-28,5335.472400540206,4268.3779204321645,21,1012.5,0.18976763892499685,30335.472400540206
1,43,2022-08-22,5325.064873271607,4260.051898617286,23,1012.5,0.1901385286556972,30325.064873271607
3,37,2022-09-13,5124.697662613551,4099.758130090841,9,1012.5,0.19757263094495098,30124.69766261355
2,40,2023-03-24,5072.754608412259,4058.203686729807,22,1012.5,0.19959569862120854,30072.75460841226
1,44,2023-06-06,5734.65034496698,4587.720275973584,28,1012.5,0.17655827977177743,30734.65034496698
3,40,2023-06-15,5496.0311327961535,4396.824906236923,10,1012.5,0.1842238472701085,30496.031132796154
3,40,2023-09-25,5342.778884322732,4274.223107458186,12,1012.5,0.1895081233795712,30342.77888432273
3,41,2023-11-24,5283.674042012255,4226.939233609804,9,1012.5,0.1916280209470294,30283.674042012255
1,47,2024-01-31,5624.450559842258,4499.560447873807,18,1012.5,0.1800175838026028,30624.45055984226
2,43,2024-07-23,5284.9169204922255,4227.933536393781,12,1012.5,0.19158295489452992,30284.916920492225
3,42,2024-09-11,5333.766920786988,4267.01353662959,13,1012.5,0.1898283174043547,30333.766920786988
1,51,2025-04-10,5400.37496333438,4320.299970667504,10,1012.5,0.18748698134376343,30400.37496333438
3,44,2025-09-08,5147.415788363112,4117.93263069049,32,1012.5,0.1967006439015444,30147.415788363112
1,52,2025-11-25,5123.517677750278,4098.814142200223,13,1012.5,0.19761813341582649,30123.51767775028
2,47,2025-11-28,5203.457947696959,4162.766358157568,18,1012.5,0.19458214329340945,30203.45794769696
1,53,2026-02-09,5683.607843232181,4546.886274585745,9,1012.5,0.1781438881652691,30683.60784323218
1,55,2026-07-02,5412.8209257349445,4330.256740587955,9,1012.5,0.18705588340935633,30412.820925734944
