period,cost_model,method,payouts,breaches,accounts_used,user_paid,avg_payout,payout_before_breach_rate,resolved_accounts,successful_accounts,avg_first_payout_days,median_first_payout_days,first_portfolio_payout_date,first_portfolio_payout_days,median_gap_days,trades_used,slot_mix,official_activation_cost_per_account,known_account_costs,known_net_cash,break_even_20k_fee_vs_1x100k_earliest
FULL_2012_2026,COMMISSION,5x20k_5_FIXED_SLOTS,545,785,790,344984.5614085355,632.9991952450193,0.5330788804071247,786,419,29.60143198090692,23.0,2012-01-17,16,7.5,12773,,,,,16.703581549056373
FULL_2012_2026,COMMISSION,1x100k_EARLIEST_OF_5,132,224,225,455313.731984781,3449.346454430159,0.45089285714285715,224,101,21.504950495049506,17.0,2012-03-08,67,32.0,3754,LON_OPEN:2678;LON_H1:674;NY_OPEN:305;NY_H1:72;NY_H2:25,549.0,123525.0,331788.731984781,
FULL_2012_2026,COMMISSION,1x100k_LON_H1_ONLY,117,143,144,363993.1088196763,3111.0522121339854,0.6083916083916084,143,87,29.310344827586206,22.0,2012-04-30,120,29.0,2351,,549.0,79056.0,284937.1088196763,
FULL_2012_2026,COMM_PLUS_0P2,5x20k_5_FIXED_SLOTS,527,789,794,324177.20026970236,615.1370024093023,0.5088607594936709,790,402,28.48507462686567,22.0,2012-01-17,16,8.0,12773,,,,,7.2227712759242415
FULL_2012_2026,COMM_PLUS_0P2,1x100k_EARLIEST_OF_5,131,227,228,443614.3198766185,3386.3688540199887,0.44933920704845814,227,102,20.627450980392158,16.0,2012-03-08,67,29.0,3754,LON_OPEN:2678;LON_H1:674;NY_OPEN:305;NY_H1:72;NY_H2:25,549.0,125172.0,318442.3198766185,
FULL_2012_2026,COMM_PLUS_0P2,1x100k_LON_H1_ONLY,115,143,144,347253.89231581806,3019.599063615809,0.5804195804195804,143,83,29.927710843373493,22.0,2012-05-18,138,28.0,2351,,549.0,79056.0,268197.89231581806,
YTD_2026,COMMISSION,5x20k_5_FIXED_SLOTS,19,28,33,11459.716978353172,603.1429988606933,0.4827586206896552,29,14,37.214285714285715,32.0,2026-01-23,22,8.5,521,,,,,-163.7039167165834
YTD_2026,COMMISSION,1x100k_EARLIEST_OF_5,6,8,9,21802.946230000423,3633.824371666737,0.625,8,5,18.6,17.0,2026-01-20,19,36.0,156,LON_OPEN:108;LON_H1:29;NY_OPEN:13;NY_H1:5;NY_H2:1,549.0,4941.0,16861.946230000423,
YTD_2026,COMMISSION,1x100k_LON_H1_ONLY,6,4,5,17766.912142942172,2961.1520238236953,0.75,4,3,39.666666666666664,41.0,2026-03-24,82,23.0,94,,549.0,2745.0,15021.912142942172,
YTD_2026,COMM_PLUS_0P2,5x20k_5_FIXED_SLOTS,19,30,35,11252.356676030548,592.2292987384499,0.4838709677419355,31,15,31.466666666666665,21.0,2026-01-23,22,8.5,521,,,,,-119.88244787174834
YTD_2026,COMM_PLUS_0P2,1x100k_EARLIEST_OF_5,6,8,9,20389.24235154174,3398.2070585902898,0.625,8,5,18.6,17.0,2026-01-20,19,36.0,156,LON_OPEN:108;LON_H1:29;NY_OPEN:13;NY_H1:5;NY_H2:1,549.0,4941.0,15448.24235154174,
YTD_2026,COMM_PLUS_0P2,1x100k_LON_H1_ONLY,5,4,5,15032.237235660397,3006.4474471320796,0.75,4,3,45.666666666666664,15.0,2026-05-07,126,19.5,94,,549.0,2745.0,12287.237235660397,
