buffer,account,date,year,balance,floor,pnl,window
0.0,1,2012-11-13,2012,198400.0,200000.0,-1600.0,LON_OPEN
0.0,2,2013-04-22,2013,199553.57361524508,200000.0,-1600.0,NY_H1
0.0,3,2014-02-27,2014,199339.57950243683,200000.0,-1600.0,LON_OPEN
0.0,4,2014-04-11,2014,198400.0,200000.0,-1600.0,LON_OPEN
0.0,5,2014-05-02,2014,187200.0,188000.0,-1600.0,NY_H1
0.0,6,2014-08-13,2014,198400.0,200000.0,-1600.0,LON_H1
0.0,7,2015-01-02,2015,198681.06545838472,200000.0,-1600.0,LON_OPEN
0.0,8,2015-12-18,2015,198400.0,200000.0,-1600.0,NY_H1
0.0,9,2016-06-08,2016,198400.0,200000.0,-1600.0,LON_H1
0.0,10,2016-10-25,2016,198436.21900450383,200000.0,-1600.0,NY_H1
0.0,11,2017-04-12,2017,198400.0,200000.0,-1600.0,LON_OPEN
0.0,12,2017-12-08,2017,199952.91747616476,200000.0,-1600.0,LON_OPEN
0.0,13,2018-01-19,2018,198400.0,200000.0,-1600.0,LON_OPEN
0.0,14,2018-02-12,2018,199466.91780849482,200000.0,-533.0821915051825,LON_OPEN
0.0,15,2018-04-04,2018,198400.0,200000.0,-1600.0,LON_OPEN
0.0,16,2018-05-25,2018,186503.88934271366,188000.0,-1600.0,LON_OPEN
0.0,17,2018-07-10,2018,187432.4822370993,188000.0,-1600.0,LON_OPEN
0.0,18,2019-04-24,2019,187843.0088065289,188000.0,-1600.0,LON_OPEN
0.0,19,2019-08-21,2019,186672.13923191754,188000.0,-1600.0,LON_OPEN
0.0,20,2019-11-18,2019,199754.86841397593,200000.0,-1600.0,LON_OPEN
0.0,21,2020-10-22,2020,199221.78823889315,200000.0,-1600.0,NY_H1
0.0,22,2020-11-30,2020,198400.0,200000.0,-1600.0,LON_H1
0.0,23,2021-03-12,2021,199365.20953614276,200000.0,-634.7904638572314,LON_OPEN
0.0,24,2021-05-21,2021,198400.0,200000.0,-1600.0,NY_H1
0.0,25,2021-07-20,2021,198400.0,200000.0,-1600.0,LON_OPEN
0.0,26,2021-08-11,2021,186676.84817804492,188000.0,-1600.0,LON_OPEN
0.0,27,2022-02-11,2022,199060.12951129305,200000.0,-1600.0,LON_OPEN
0.0,28,2022-06-23,2022,198400.0,200000.0,-1600.0,LON_H1
0.0,29,2022-08-23,2022,198400.0,200000.0,-1600.0,LON_OPEN
0.0,30,2022-12-13,2022,199179.91819214492,200000.0,-820.0818078550931,NY_H1
0.0,31,2023-02-14,2023,187671.46981398555,188000.0,-1600.0,LON_H1
0.0,32,2023-06-14,2023,199234.39147165566,200000.0,-1600.0,NY_H1
0.0,33,2023-07-28,2023,198400.0,200000.0,-1600.0,LON_OPEN
0.0,34,2023-12-05,2023,199200.0,200000.0,-1600.0,LON_H1
0.0,35,2024-07-15,2024,198589.55916117178,200000.0,-1410.4408388282095,NY_H1
0.0,36,2025-04-09,2025,198400.0,200000.0,-1600.0,LON_H1
0.0,37,2025-09-29,2025,198400.0,200000.0,-1600.0,LON_OPEN
0.0,38,2026-05-15,2026,198400.0,200000.0,-1600.0,LON_OPEN
4000.0,1,2013-04-24,2013,198900.01674324024,200000.0,-1600.0,LON_H1
4000.0,2,2013-10-31,2013,199200.0,200000.0,-1600.0,NY_H1
4000.0,3,2014-02-26,2014,199522.71656120545,200000.0,-1600.0,LON_H1
4000.0,4,2014-09-25,2014,198838.60559267717,200000.0,-1600.0,LON_OPEN
4000.0,5,2015-04-09,2015,199100.6815851435,200000.0,-1600.0,LON_OPEN
4000.0,6,2016-07-28,2016,199023.94953002658,200000.0,-1087.5875906286228,LON_OPEN
4000.0,7,2016-09-01,2016,198721.16131473612,200000.0,-1600.0,NY_H1
4000.0,8,2017-01-20,2017,199719.0667849172,200000.0,-1600.0,LON_OPEN
4000.0,9,2017-05-12,2017,199646.5208185897,200000.0,-1600.0,LON_OPEN
4000.0,10,2018-04-20,2018,199046.84024257265,200000.0,-1600.0,LON_OPEN
4000.0,11,2018-06-07,2018,187947.92658879372,188000.0,-309.33353789653376,LON_OPEN
4000.0,12,2018-07-17,2018,186822.6187928616,188000.0,-1600.0,LON_OPEN
4000.0,13,2019-05-14,2019,186736.559985453,188000.0,-1600.0,LON_H1
4000.0,14,2020-05-14,2020,199728.5304361781,200000.0,-1600.0,LON_OPEN
4000.0,15,2021-08-03,2021,199108.0668671153,200000.0,-1600.0,LON_H1
4000.0,16,2022-04-12,2022,199200.0,200000.0,-1600.0,LON_OPEN
4000.0,17,2022-08-30,2022,199866.7885650864,200000.0,-1600.0,LON_H1
4000.0,18,2023-01-27,2023,198873.4402829997,200000.0,-1600.0,LON_OPEN
4000.0,19,2024-02-15,2024,199782.1998268132,200000.0,-1600.0,LON_H1
4000.0,20,2024-08-13,2024,199959.46382639787,200000.0,-1600.0,LON_H1
4000.0,21,2025-05-05,2025,199063.596733757,200000.0,-1600.0,NY_H1
4000.0,22,2025-10-06,2025,198400.0,200000.0,-1600.0,LON_OPEN
4000.0,23,2026-03-02,2026,199048.11573187725,200000.0,-1600.0,LON_OPEN
