buffer,year,trades,payouts,breaches,gross_requested,user_paid
0.0,2020,181,2,1,26213.676289186522,20970.94103134922
0.0,2021,168,4,4,53190.95762213878,42552.766097711035
0.0,2022,163,4,3,52635.66218157561,42108.52974526049
0.0,2023,159,3,4,37467.05380648709,29973.643045189674
0.0,2024,161,2,3,25827.18511871423,20661.748094971386
0.0,2025,160,2,2,25674.51505691686,20539.61204553349
0.0,2026,92,2,1,28542.121268964518,22833.697015171616
4000.0,2020,181,2,0,22213.676289186522,17770.94103134922
4000.0,2021,168,4,1,45877.18806192369,36701.75044953895
4000.0,2022,163,5,2,54405.12369259956,43524.09895407966
4000.0,2023,159,2,1,20439.111482076434,16351.28918566115
4000.0,2024,161,2,2,24120.54374794537,19296.434998356293
4000.0,2025,160,2,2,17161.38320696188,13729.106565569506
4000.0,2026,92,2,1,16443.52783449454,13154.822267595633
