buffer,account,start_date,first_payout_date,days_to_first_payout,breach_date,got_payout_before_breach
4000.0,1,2012-01-01,2012-11-07,311.0,2013-04-24,True
4000.0,2,2013-04-24,2013-10-28,187.0,2013-10-31,True
4000.0,3,2013-10-31,2014-01-15,76.0,2014-02-26,True
4000.0,4,2014-02-26,2014-08-15,170.0,2014-09-25,True
4000.0,5,2014-09-25,2014-12-09,75.0,2015-04-09,True
4000.0,6,2015-04-09,2016-05-27,414.0,2016-07-28,True
4000.0,7,2016-07-28,2016-08-23,26.0,2016-09-01,True
4000.0,8,2016-09-01,2016-10-20,49.0,2017-01-20,True
4000.0,9,2017-01-20,2017-04-05,75.0,2017-05-12,True
4000.0,10,2017-05-12,2017-11-24,196.0,2018-04-20,True
4000.0,11,2018-04-20,,,2018-06-07,False
4000.0,12,2018-06-07,,,2018-07-17,False
4000.0,13,2018-07-17,,,2019-05-14,False
4000.0,14,2019-05-14,2019-11-04,174.0,2020-05-14,True
4000.0,15,2020-05-14,2020-09-29,138.0,2021-08-03,True
4000.0,16,2021-08-03,2021-11-26,115.0,2022-04-12,True
4000.0,17,2022-04-12,2022-05-24,42.0,2022-08-30,True
4000.0,18,2022-08-30,2022-11-04,66.0,2023-01-27,True
4000.0,19,2023-01-27,2023-06-06,130.0,2024-02-15,True
4000.0,20,2024-02-15,2024-07-29,165.0,2024-08-13,True
4000.0,21,2024-08-13,2025-04-10,240.0,2025-05-05,True
4000.0,22,2025-05-05,2025-09-24,142.0,2025-10-06,True
4000.0,23,2025-10-06,2026-02-09,126.0,2026-03-02,True
4000.0,24,2026-03-02,2026-05-19,78.0,,True
