config,risk_pct,trades,accounts_observed,accounts_with_first_payout,payout_before_breach_rate,avg_days_to_first_payout_successful,median_days_to_first_payout_successful,min_days_to_first_payout_successful,max_days_to_first_payout_successful,total_payout_events,breaches,score
ALL3_MF,0.006,2351,33,28,0.8484848484848485,144.75,100.5,19.0,464.0,33,32,155.8030303030303
ALL3_MF,0.008,2351,39,32,0.8205128205128205,134.8125,107.5,19.0,347.0,36,38,173.01282051282053
ALL3_MF,0.01,2351,43,33,0.7674418604651163,120.6969696969697,106.0,15.0,431.0,37,42,190.88372093023253
ALL3_MF,0.012,2351,49,34,0.6938775510204082,108.91176470588235,107.5,15.0,237.0,38,48,219.23469387755102
LONDON_MF,0.006,1723,36,28,0.7777777777777778,142.10714285714286,125.5,23.0,408.0,32,35,206.6111111111111
LONDON_MF,0.008,1723,34,26,0.7647058823529411,144.46153846153845,122.0,36.0,408.0,29,33,207.8823529411765
LONDON_MF,0.01,1723,42,29,0.6904761904761905,133.48275862068965,138.0,23.0,305.0,32,41,250.97619047619048
LONDON_MF,0.012,1723,50,31,0.62,116.0,95.0,15.0,378.0,36,49,233.7
LONOPEN_MF,0.006,1166,23,20,0.8695652173913043,224.15,149.0,36.0,626.0,22,22,196.60869565217394
LONOPEN_MF,0.008,1166,24,20,0.8333333333333334,227.15,156.5,36.0,626.0,22,23,217.33333333333331
LONOPEN_MF,0.01,1166,27,20,0.7407407407407407,187.8,170.5,26.0,413.0,23,26,265.1296296296297
LONOPEN_MF,0.012,1166,32,22,0.6875,173.54545454545453,143.5,26.0,413.0,25,31,257.5625
ALL3_MTH,0.006,1880,30,26,0.8666666666666667,173.69230769230768,161.0,21.0,364.0,30,29,209.66666666666666
ALL3_MTH,0.008,1880,32,26,0.8125,161.34615384615384,150.5,20.0,341.0,31,31,218.9375
ALL3_MTH,0.01,1880,38,27,0.7105263157894737,144.25925925925927,133.0,26.0,319.0,34,37,238.6578947368421
ALL3_MTH,0.012,1880,38,26,0.6842105263157895,145.34615384615384,132.5,25.0,262.0,34,37,247.76315789473682
LONDON_MTH,0.006,1388,30,24,0.8,175.625,175.5,21.0,461.0,29,29,248.5
LONDON_MTH,0.008,1388,28,23,0.8214285714285714,194.3913043478261,161.0,42.0,490.0,26,27,226.17857142857144
LONDON_MTH,0.01,1388,28,21,0.75,204.38095238095238,175.0,42.0,488.0,27,27,266.25
LONDON_MTH,0.012,1388,40,28,0.7,140.17857142857142,147.0,21.0,333.0,31,39,256.5
ALL3_TTH,0.006,1449,20,17,0.85,230.8235294117647,191.0,37.0,576.0,25,19,245.75
ALL3_TTH,0.008,1449,25,20,0.8,210.3,182.5,33.0,562.0,26,24,255.5
ALL3_TTH,0.01,1449,27,20,0.7407407407407407,206.85,144.0,33.0,562.0,27,26,238.62962962962965
ALL3_TTH,0.012,1449,27,19,0.7037037037037037,196.1578947368421,140.0,29.0,576.0,27,26,248.14814814814815
