risk_pct,trades,payouts,breaches,accounts_used,accounts_with_first_payout,payout_before_breach_rate,avg_days_first_payout_success,median_days_first_payout_success,avg_days_between_payouts,median_days_between_payouts,payouts_per_year,user_paid_200k,user_paid_50k,account_costs_50k,net_cash_50k,net_cash_per_year_50k,net_per_account_cost_50k,user_paid_100k,account_costs_100k,net_cash_100k,net_cash_per_year_100k,net_per_account_cost_100k,account_costs_200k,net_cash_200k,net_cash_per_year_200k,net_per_account_cost_200k
0.006,2351,33,32,33,28,0.8484848484848485,144.75,100.5,155.5,113.5,2.2597019122609674,255378.5573082805,63844.63932707012,11517.0,52327.63932707012,3583.1777773176536,4.5435130092098746,127689.27865414025,18117.0,109572.27865414025,7503.051139562191,6.048036576372481,36234.0,219144.5573082805,15006.102279124381,6.048036576372481
0.008,2351,36,38,39,32,0.8205128205128205,134.8125,107.5,143.45714285714286,119.0,2.465129358830146,369829.20385391614,92457.30096347904,13611.0,78846.30096347904,5399.064759450828,5.792836747004558,184914.60192695807,21411.0,163503.60192695807,11196.042482906156,7.636429962493955,42822.0,327007.20385391614,22392.08496581231,7.636429962493955
0.01,2351,37,42,43,33,0.7674418604651163,120.6969696969697,106.0,141.25,117.5,2.5336051743532058,476101.89012201555,119025.47253050389,15007.0,104018.47253050389,7122.749735989229,6.931330214600113,238050.94506100778,23607.0,214443.94506100778,14684.224022034701,9.083913460456973,47214.0,428887.89012201555,29368.448044069402,9.083913460456973
0.012,2351,38,48,49,34,0.6938775510204082,108.91176470588235,107.5,136.13513513513513,122.0,2.602080989876266,586857.1472518792,146714.2868129698,17101.0,129613.2868129698,8875.375517142336,7.57928114221214,293428.5736259396,26901.0,266527.5736259396,18250.692963418533,9.907719922156783,53802.0,533055.1472518792,36501.385926837065,9.907719922156783
0.014,2351,41,55,56,35,0.625,107.28571428571429,97.0,127.05,112.5,2.8075084364454446,744647.9398622747,186161.98496556867,19544.0,166617.98496556867,11409.302401326202,8.52527553037089,372323.96993113734,30744.0,341579.96993113734,23389.967007376814,11.110459599633662,61488.0,683159.9398622747,46779.93401475363,11.110459599633662
0.016,2351,41,59,60,37,0.6166666666666667,102.24324324324324,97.0,127.05,108.5,2.8075084364454446,843802.1396824525,210950.53492061314,20940.0,190010.53492061314,13011.126336661782,9.074046557813427,421901.0698412263,32940.0,388961.0698412263,26634.42646409972,11.808168483340202,65880.0,777922.1396824525,53268.85292819944,11.808168483340202
0.018,2351,43,70,71,40,0.5633802816901409,83.675,68.0,119.71428571428571,99.5,2.9444600674915637,1002610.0701309649,250652.5175327412,24779.0,225873.5175327412,15466.87331811656,9.11552191503859,501305.0350654824,38979.0,462326.0350654824,31658.152288651567,11.860900358282214,77958.0,924652.0701309649,63316.30457730313,11.860900358282214
0.02,2351,42,69,70,37,0.5285714285714286,89.94594594594595,83.0,121.53658536585365,105.0,2.875984251968504,1083723.6822939864,270930.9205734966,24430.0,246500.9205734966,16879.351563455126,10.090090895353933,541861.8411469932,38430.0,503431.8411469932,34472.905882815765,13.099969845094801,76860.0,1006863.6822939864,68945.81176563153,13.099969845094801
0.0225,2351,44,77,78,36,0.46153846153846156,79.36111111111111,69.0,117.20930232558139,104.0,3.0129358830146233,1279039.2095305847,319759.8023826462,27222.0,292537.8023826462,20031.76458947535,10.74637434364287,639519.6047652924,42822.0,596697.6047652924,40859.3551069597,13.934370294831918,85644.0,1193395.2095305847,81718.7102139194,13.934370294831918
0.025,2351,45,85,86,39,0.45348837209302323,81.64102564102564,78.0,114.47727272727273,104.0,3.081411698537683,1448879.3766874005,362219.8441718501,30014.0,332205.8441718501,22748.0661011939,11.068362903040253,724439.6883437003,47214.0,677225.6883437003,46373.581302500286,14.343747370349902,94428.0,1354451.3766874005,92747.16260500057,14.343747370349902
